Nation,Sail,Skipper,Crew,Yacht Club, 1, 2, 3, 4, 5, 6, 7,Boat,Total,Pos
USA,8013,Jonathan Wenderoth,Pat Murphy,Mystic River Mudheads,4,1,[7],2,1,6,2,,16T,1  
USA,8441,Peter Scannell,Olav Schluter,American Yacht Club,3,3,2,5,[9/DNS],2,1,,16T,2  
USA,8830,Mark Zagol,Andrew Buttner,SCYC,1,2,1,1,[9/DNC],9/DNC,9/DNC,Kokatat,23,3  
USA,8012,Whit Duncan,Whit Duncan,Sail Newport,[7],5,6,6,4,1,3,,25,4  
USA,7773,Duane Delfosse,Sol Marini,LSYC/ NNYC,5,[8],4,3,5,5,4,Salvage,26,5  
USA,8439,Michael Komar,,Newport,6,4,3,4,3,7,[9/DNS],,27,6  
USA,8194,Thomas Kivney,Gordon Russell,Hingham Yacht Club,2,7,5,7,6,4,[9/DNS],KatieBear,31,7  
USA,8767,Michael Breton,Dylan Breton,Sail Newport,[8],6,8,8,2,3,5,,32,8  
