,SailNo,HelmName,CrewName,Club,R1,R2,R3,R4,R5,Boat,Total,Nett,Rank
CAN,8600,Marie Gendron,Dave Brown,NSC,[0.75],0.75,0.75,0.75,0.75,CAN 8600,3.75,3,1st
CAN,7346,Debbie Ashby,David Adams,NSC,2,[3],3,2,2,Loose Unit,12,9,2nd
CAN,8410,Clarissa Bush,Chris Gillies,NSC,3.50 RDG,2,2,3,[7 DNC],Bandersnatch,17.50,10.50,3rd
CAN,7605,Renka Gesing,Adam Gesing,NSC,3,[4],4,4,3,7605,18,14,4th
CAN,8368,Paul Place,Samuel Place,GRYC,6 RET,[7 DNC],7 DNC,7 DNC,7 DNC,Suasion V,34,27,5th
CAN,8735,Brent Beninger,,NSC,[7 DNC],7 DNC,7 DNC,7 DNC,7 DNC,Spaghetti Factory,35,28,6th
