Sail,Number,Team,,,R1,R2,R3,R4,R5,R6,R7,T,N,Nr
SUI,8544,Matthias Märki,Samuel Zubler,SUI,-1,1,1,1,1,1,1,7,6,1
SUI,7926,Thomas Hasler,Thierry Kober,SUI,2,2,-3,2,2,3,2,16,13,2
SUI,9103,Ammann Walter,Achermann Lara,SUI,3,3,2,3,3,2,-4,20,16,3
SUI,8528,Peter Schweizer,Thomas Ammann,SUI,4,4,4,4,(5.0)DNS,4,3,28,23,4
