Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat Name,Points,Place
AUS,2230,James Hardy,Max Whitnall,,39,2,2,,,,Black Bottle,,1
DEN,2366,Paul Elvstrøm,Malcolm 'Pip' Pearson,,1,1,7,,,,,,2
AUS,0,John B. Cuneo,A. Martin,,2,,1,,,,Daring Kestral,,3
RSA,,Donald Ord,Lou,,,24,,,,,Miss Woodie Woodroofe,,
FRA,,Marcel Buffet,,,3,8,,,,,Tricolore,,
GBR,,Derek Farrant,,,4,,,,,,The Bloke,,
GBR,,Larry Marks,,,5,3,,,,,Muchacha IV,,
ZIM,,W. Deverell,,,6,19,,,,,Tintara,,
AUS,,J. Schramm,,,7,,,,,,Tornado IV,,
AUS,1505,Rolly Tasker,Doug Giles,,8,9,,,,,Falcon XIV,,
AUS,,B. Cox,,,9,,,,,,Wahn,,
AUS,,R. Lanyon,,,10,4,,,,,Taylor Maid,,
AUS,,G. White,,,11,10,,,,,Kestral X,,
AUS,,N. Butcher,,,12,,,,,,Labasyn,,
AUS,,P. Harvey,,,13,,,,,,Fa Too,,
AUS,,R. Belford,,,14,,,,,,Aurora,,
AUS,,J. Pound,,,15,,,,,,Schuss,,
GER,,F. Steinrt,,,16,,,,,,West End,,
AUS,,D. Robinson,,,17,,,,,,Nautilass,,
AUS,,R. Davies,,,18,,,,,,Twitch,,
HKG,,H. Lockeyear,,,19,14,,,,,Violet Crumble,,
AUS,,J. Cassidy,,,20,7,,,,,Evelyn,,
AUS,,I. Robertson,,,21,,,,,,FiddleDe-Dee,,
ZAM,,J. Valentine,,,22,,,,,,Tom The Cheap II,,
AUS,,P. Sorernsen,,,23,,,,,,Wendsday,,
USA,,A. Surtees,,,24,,,,,,Viva United,,
AUS,2090,P. McArdle,,,25,,,,,,Poseidon,,
IRL,,S. Flood,,,26,,,,,,Tandanya,,
AUS,,M. Ballans,,,27,,,,,,Sedate,,
AUS,,R. Pound,,,28,15,,,,,Mirage,,
CAN,,M. Pope,,,29,,,,,,Tom The Cheap,,
AUS,,G. Smith,,,30,,,,,,Flight,,
AUS,,J. Verco,,,31,,,,,,Carina,,
SWE,,Christer Båth,,,32,,,,,,Dot,,
AUS,,P. Humble,,,33,17,,,,,Yani,,
AUS,,B. Price,,,34,5,,,,,The Hoteller,,
AUS,,P. Blade,,,35,22,,,,,Hustler,,
AUS,,B. Snowden,,,36,,,,,,Aelion,,
AUS,,J.Cameron,,,37,,,,,,Gremlin,,
AUS,,R. Haselgrove,,,38,,,,,,Sapristi,,
CAN,,M. Pope,,,40,,,,,,Tom The Cheap I,,
AUS,,M. Burridge,,,41,,,,,,Be-Be,,
AUS,2093,J. Winwood,,,42,,,,,,Goondooloo,,
AUS,,I. Gray,,,43,,,,,,Shiralee,,
AUS,,I. Bracher,,,44,,,,,,YA III,,
AUS,,R. Biddell,,,45,,,,,,Leanne,,
AUS,,R. Marcus,,,46,,,,,,Foreiger,,
AUS,,J. Burke,,,47,25,,,,,Iaa-Lel,,
AUS,,Fred Naill,,,48,,3,,,,Ya V.,,
AUS,,C. Nicoll,,,49,,,,,,Eleanor,,
AUS,,M. Witty,,,50,,,,,,Manana,,
AUS,,R. Hayden,,,51,12,,,,,Kathy II,,
AUS,2091,G. Weston,,,52,,,,,,Scram II,,
AUS,,D. Hollands,,,53,,,,,,Mistral,,
DEN,,Jan Eppers,,,54,,,,,,Strath Special,,
AUS,,R. Acfield,,,55,,,,,,Karloo,,
AUS,,J. Needham,,,56,16,,,,,Victor,,
AUS,,J. Correll,,,57,,,,,,Sunnyside,,
AUS,,C. Mumford,,,58,20,,,,,Zest,,
,,Bowen,,,,6,,,,,Chance,,
,,Barnya,,,,13,,,,,Yani II,,
AUS,,Kyrwood,,,,18,,,,,Aquaneci,,
AUS,,Illman,,,,21,,,,,Zara IV,,
,,Zemanek,,,,23,,,,,Zero I,,
