nation,boat no,helm,crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
GER,8992,Lutz Stengel,Frank Feller,Royc,1,1,1,-2,2,1,6,1
GER,9152,Jens Biederer,Geeske Genrich,HSC,2,-5,2,1,1,2,8,2
GER,9146,Thure Gnadeberg,Aron Tellen,BSV,3,2,6,(OCS),3,3,17,3
GER,9149,Paul Anton Meyer,Rolf Meyer,SCED,5,3,-8,3,6,4,21,4
GER,9144,Jürgen Anton,Ulf Denecke,HSC,4,6,5,-7,4,7,26,5
GER,9040,Norbert Dasembrook,Sven Meier,KSW,6,-11,3,5,8,5,27,6
GER,8849,Henrik Schade,Tim Hansen,WVW,-7,4,4,6,7,6,27,7
GER,9066,Peter Gerdts,Christian Labenz,SVWU,9,7,7,-10,5,8,36,8
GER,8947,Ralf Schneidewind,Stefan Schmidt,SLRV,8,10,-11,4,9,10,41,9
GER,8317,Christina Burger,Martin Lietz,WSCW,-10,9,9,8,10,9,45,10
GER,8932,Christian Henge,Georg Mittermayer,WeiSe,-11,8,10,9,11,11,49,11
