Nation,Boot,Steuermann,Vorschoter,Club,Platzierungen,,Pl.,,,
GER,9146,Thure Gnadeberg,Aron Tellen,BSV,1,1,1,2,,1
GER,9149,Bernd Rasenack,Rolf Meyer,ZSK,2,2,9,1,,2
GER,8849,Henrik Schade,Sebastian Wiemer,WVW,4,5,2,10,,3
BEL,8613,Kim Van Assche,Lien Van Assche,,5,3,3,4,,4
GER,8775,Jan Sell,Wiebke Gewinn,TUSF,8,8,4,3,,5
GER,8370,Felix Graff,Stephan Graff,SLRV,7,4,5,8,,6
GER,8903,Steve Kwee,Alena-Larissa Wilkens,HSC,4,DNF,6,6,,7
GER,9066,Peter Gerdts,Christian Labenz,HSC,6,6,8,7,,8
GER,9000,Julia Trusen,Thorsten Pösch,SVBS,1,9,7,5,,9
GER,8928,Christina Burger,Martin Lietz,WSCW,9,7,12,11,,10
GER,8691,Harald König,Katja Frühwald,SHVL,12,11,10,9,,11
GER,8469,Hansjörg Ehlers,Thomas Afken,ZSK,10,10,11,12,,12
GER,9123,Enno Wilts,Jan Jürgens,SVBB,13,DNF,DNC,DNC,,13
