Nation,Boot,Steuermann,Vorschoter,Club,Platzierungen,,Pl.
GER,9169,Tim Böger,Markus Schöner,HSC,3,1,1,1,1,,1
GER,9161,Walter Steding,Hans-Werner Steding,HSC,4,3,3,6,2,,2
GER,9130,Andreas Jungclaus,Benjamin Seibt,HSC,1,7,5,2,5,,3
GER,9144,Jürgen Anton,Ulf Denecke,HSC,7,2,4,5,3,,4
GER,9113,Joseph Schütte,Stella Boleslaswky,,6,8,7,3,4,,5
GER,9135,Jens Biederer,Andreas Stickel,HSC,5,5,2,DNF,9,,6
GER,8915,Davina Schlesiger,Felix Zahn,MSC,8,4,6,7,6,,7
GER,8903,Steve Kwee,Alena-Larissa Wilkens,HSC,2,9,9,4,11,,8
GER,8964,Iris Anton,Bruno Laudage,HSC,9,6,10,8,7,,9
GER,8686,Markus Hintz,John Christiansen,HSC,10,11,8,9,8,,10
GER,8433,Patrick Ziegelmueller,Katharina Menge,HSC,12,12,11,10,10,,11
GER,8691,Harald König,Katja Frühwald,SHVL,11,10,13,11,13,,12
GER,8389,Rainer Gieseler,Denis Rumohr,OSG,13,13,12,12,12,,13
