Nation,Boot,Steuermann,Vorschoter,Club,Platzierungen,,Pl.
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,3,2,1,1,DNF,1,,1
GER,9146,Thure Gnadeberg,Aron Tellen,BSV,2,3,2,4,2,2,,2
GER,9040,Nørbert Dasenbrook,Sven Meier,KSW,1,1,3,8,1,8,,3
GER,9151,Walter Steding,Hans-Werner Steding,HSC,4,5,6,2,3,6,,4
GER,9113,Joseph Schütte,Karsten Stümpel,,6,10,5,5,4,7,,5
GER,9144,Jürgen Anton,Ulf Denecke,HSC,5,7,8,11,5,3,,6
GER,9123,Enno Wilts,Geeske Genrich,SVBB,10,8,7,7,6,9,,7
GER,9057,Dorothea Gebert,Ivo Vollering,,11,14,14,3,7,4,,8
GER,8940,Martin Kittsteiner,Oliver Stieglitz,HSC,7,4,4,DNF,DNF,5,,9
GER,8825,Michael Troch,Birgit Hartmann,SGJ,12,13,12,6,8,10,,10
GER,8370,Felix Graff,Stephan Graff,SLRV,14,9,10,12,9,11,,11
GER,9135,Jens Biederer,Andreas Stickel,HSC,8,17,11,9,11,13,,12
GER,8964,Iris Anton,Katharina Menge,HSC,17,11,9,16,10,12,,13
GER,9066,Peter Gerdts,Christian Labenz,HSC,9,6,17,10,DNF,DNC,,14
GER,8317,Christina Burger,Andreas Porth,WSCW,15,16,DNF,13,12,14,,15
GER,8932,Christian Henge,Frank Tiemer,OSG,16,12,13,15,14,16,,16
GER,9000,Julia Trusen,Thorsten Pösch,SVBS,13,16,15,14,13,15,,17
GER,8428,Christian Lempp,Marius Wolf,HSC,19,15,DNF,17,15,17,,18
GER,8469,Hansjörg Ehlers,Thomas Afken,ZSK,18,19,16,18,16,DNF,,19
GER,8389,Rainer Gieseler,Hilke Bölts,OSG,20,DNF,DNF,DNF,17,DNF,,20
