Nr na żaglu,Team,Klub,,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R,N,Nr
GER 9152,Wolfgang Hunger,Holger Jess,WUW,3,1,1,4,1,1,1,(7),4,6,4,33,26,1
GBR 9196,Penny Clark,Russell Clark,RNSA,(13),5,2,1,2,4,5,1,10,2,3,48,35,2
DEN 9181,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,Hellerup Sejlklub,1,(12),3,2,5,10,2,3,5,1,6,50,38,3
GBR 9215,Roger Gilbert,Ben Mcgrane,Netley Sailing Club,(7),7,4,5,3,7,4,2,3,3,2,47,40,4
GBR 9177,Thomas Gillard,Geoff Edwards,SVSC,4,3,(14),10,4,6,9,6,1,5,1,63,49,5
FRA 9218,Philippe Boite,Mathieu Fountaine,CVSQ,2,4,8,(31) DNC,9,3,7,4,7,12,5,92,61,6
SWE 9029,Tomas Grundel,Johan Strömdahl,KSSS,9,(18),11,8,10,9,3,9,2,11,8,98,80,7
GER 9070,Stefan Köchlin,Andreas Achterberg,SVS,20,10,(24),3,7,5,8,8,6,4,12,107,83,8
GER 9127,Ulf Pleßmann,Hans-Heinrich Rix,AYC,6,9,13,6,12,12,12,10,(19),7,10,116,97,9
GER 9185,Stefan Böhm,Gerald Roos,SCV,(19),19,18,7,8,2,6,17,14,17,10 STP,137,118,10
GER 9182,Alexander Holzapfel,Stefan Worm,PSVK,5,11,5,17,18,14,(21),12,9,15,13,140,119,11
GER 9113,Joseph Schütte,Finn Böger,SLRV,20 STP,13,(22),9,15,11,13,5,8,16,11,143,121,12
GER 9169,Tim Böger,Markus Schöner,HSC,12 STP,(21) STP,10 STP,15,6,8,15,16,15,18,17 STP,153,132,13
SWE 8962,Peter Bökmark,Martin Persson,BKSS,12,17,6,21,(25),15,25,21,12,9,9,172,147,14
GER 8750,Peter Kruse,Arne Wittemer,SC HATTINGEN,(22),16,19,18,17,13,10,13,16,8,19,171,149,15
GER 8669,Nils-Henning Hofmann,Jan-Hendrik Lenz,DYC,8,8,17,11,16,24,14,14,23,(31) DNC,15,181,150,16
GBR 9178,Chris Lewns,Jack Kilburn,WYC,18,(22),10,12,20,19,18,18,17,10,16,180,158,17
GER 9149,Bernd Rasenack,Rolf Meyer,SCED,21,2,21,14,13,20,11,15,11,(31) DNC,31 DNC,190,159,18
GER 9131,Jörn Wille,Martin Bergmann,MSC,10,6,12,20,22,18,(26) STP,19,24,20,17,194,168,19
GER 9171,Stefan Giesler,Frank Böhm,VSAW,17 STP,14,15,16,14,17,16,20,(22),21,18,190,168,20
GER 9040,Nørbert Dasenbrook,Sven Meier,SKBUE,23,21,(25),13,11,16,19,11,13,23,20,195,170,21
GER 9006,Andreas Porth,Michael Rehberg,SLRV,16,15,7,19,23,21,22,(27),20,14,22,206,179,22
GER 8806,Anna Hauschild,Katharina Menge,SCS,(28) STP,23,20,23,24,26,27,23,21,13,23,251,223,23
GER 9135,Jens Biederer,Johannes Kindermann,HSC,15,24,16,(31) DNC,31 DNC,31 DNC,17,22,25,19,24,255,224,24
FRA 9219,Elisabeth Neidhart,David de Monteil,YCIF,24,(26),23,22,19,22,20,26,26,22,21,251,225,25
GER 8988,Thorsten Pösch,Georg Mittermayer,SCSZ,(29),29,27,24,21,28 STP,26,25,27,25,25,286,257,26
AUS 9225,Earle Alexander,,Darling Point Special School,26,28,28,(31) DNC,31 DNC,31 DNC,24,24,18,24,30 STP,295,264,27
AUS 9071,Richard Hyde,Elspeth Hyde,Sandgate Sailing Club,27,27,(30),25,26,23,28,28,28,27,29 STP,298,268,28
GER 8932,Christian Henge,Katja Henge,WEISE,30,25,26,29 STP,27,27,(31) DNF,29,29,26,28,307,276,29
GER 8630,Lars Lankenau,Sven Mehl,SFHS,28,30,29,(31) DNC,28,31 DNF,29,30,30,28,31 DNC,325,294,30
