Nation,Boot,Steuermann,Vorschoter,Club,Platzierungen,,Pl.,,,,,,
GER,9121,Jan-Philipp Hofmann,Felix Brockerhoff,DYC,1,1,1,1,1,2,4,,1
GER,9182,Alexander Holzapfel,Stefan Worm,PSVK,8,2,7,2,3,5,1,,2
GER,9198,Frederik Schaal,Felix Diesch,,3,5,3,8,6,1,14,,3
GER,9101,Timon Treichel,Morten Roos,DYC,4,OCS,4,4,2,10,3,,4
GER,9146,Thure Gnadeberg,Aron Tellen,BSV,2,OCS,6,3,7,3,19,,5
GER,912*,Nils-Henning Hofmann,Lenz Jan-Hendrik,DYC,6,4,8,10,8,8,6,,6
GER,9169,Christoph Cornelius,Finn Böger,,12,3,13,9,4,14,2,,7
GER,9057,Joseph Schütte,Geeske Genrich,,5,9,5,14,13,12,9,,8
GER,9133,Lena Stückl,Wolfgang Stückl,DTYC,16,6,2,5,OCS,9,17,,9
GER,8806,Anna Hauschild,Lutz Körnig,SCS,9,16,11,12,9,7,7,,10
GER,9066,Peter Gerdts,Christian Labenz,HSC,15,7,9,7,10,17,10,,11
BEL,8898,Bas Van Assche,Toon Van Assche,,11,12,12,11,5,16,11,,12
GER,9040,Nørbert Dasenbrook,Sven Meier,KSW,7,15,10,6,16,11,16,,13
GER,9151,Andreas Jungclaus,Hans-Werner Steding,HSC,21,11,15,16,14,4,12,,14
GER,8975,Maike Roos,Maren Roos,,17,8,21,18,15,6,8,,15
GER,8849,Henrik Schade,Sebastian Wiemer,WVW,14,10,14,13,OCS,13,15,,16
GER,9035,Ronald Roos,Kirsten Roos,SVWu,13,13,20,15,12,15,21,,17
GER,9135,Jens Biederer,Christian Esch,HSC,10,OCS,19,21,OCS,18,5,,18
GER,8904,Steve Kwee,Oliver Stieglitz,HSC,18,14,16,DNC,11,19,DNF,,19
GER,8947,Ralf Schneidewind,Enno Wilts,KSC,19,19,23,20,18,20,20,,20
GER,8988,Georg Mittermayer,Konrad Barop,LYC,20,17,18,22,17,DNC,DNC,,21
GER,8317,Christina Burger,Martin Lietz,WSCW,22,18,22,23,19,21,18,,22
GER,9195,Dirk Penno,Alexander Wobetzky,,OCS,OCS,17,17,DNC,DSQ,13,,23
GER,8928,Matthias Dachs,Katharina Menge,HSC,DNC,DNC,DNF,19,DNC,DNC,DNC,,24
