Nation,Segel-Nr.,Steuermann/-frau ,Vorschoter/-in ,Club/Land ,Laufwertungen ,,PunkteRL,Pl. 
GER,8671,Markus Mühlbauer,Angela Stenger,DTYC,1,3,4,1
GER,8633,Christian Kellner,Wolfgang Stückl,HSC,4,1,5,2
GER,8652,Sebastian Dörr,Christian Dörr,HSC,2,5,7,3
GER,8519,Robert Wisolek,Thomas Löwen,SVM,7,2,9,4
GER,8642,Stefan Schollmayer,Francisco Sanguino,SCMSP,3,8,11,5
FRA,7941,Veronique Dousselin,Jean Pierre Peter, ,5,6,11,6
GER,8413,Martin Eckel,Oliver Paulzen,HSC,8,4,12,7
FRA,8484,Philippe Blanchard,Carole Blattner, ,6,7,13,8
GER,7891,Ulli Stegbauer,Robert Plecher,HSC,11,9,20,9
GER,8473,Oliver Kraft,Andreas Goggel,SSCM,9,11,20,10
GER,8530,Alexander von Mertens,Stefan Worm,STSC,10,1,11,11
GER,7768,Christina Friedrich,Thorsten Koch,DHH,12,12,24,12
GER,8098,Albrecht Maisch,Frank Letsche,SGK,14,13,27,13
GER,8210,Nikolaus Jägersberg,Wolfgang Hiltscher,DTYC,15,14,29,14
GER,8691,Günther Böckle,Frank Heimburger,SSCM,13,DNC,29,15
