Sail Number,Helm,Crew,Club,R1,R2,R3,R4,R5,R6,R7,R8,R9,T,N,Nr
GER 9152,Wolfgang Hunger,Holger Jess,WUW,1,(3),1,1,2,(3),1,2,1,15,9,1
DEN 9181,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,Hellerup Sejlklub,2,1,2,2,1,(4),(4),4,2,22,14,2
SWE 9029,Tomas Grundel,Johan Strömdahl,KSSS,(12),6,5,3,(16),2,5,1,6,56,28,3
DEN 9187,Jan Saugmann,Jacob Sonny Ernst,Hellerup Sejlklub,4,2,8,8,3,(10),2,(10),8,55,35,4
SWE 8926,Ebbe Rosen,Olle Wenrup,MKS,5,4,(14),6,5,8,6,3,(24) DNC,75,37,5
DEN 9128,Per Winther Larsen,Henrik Buhl,Hellerup Sejlklub,6,7,(13),4,(14),11,3,7,4,69,42,6
GER 9146,Thure Gnadeberg,Aron Tellen,BSV,(11),8,(10),5,6,1,9,6,10,66,45,7
DEN 9055,Fabiola Wonterghem,Michael Wonterghem,Sorø Sejlforening,7,(11),11,9,11,6,(14),5,3,77,52,8
SWE 9038,Mikael Gustafsson,Tore Reinhold,BKSS,9,(16),3,11,(15),7,10,9,5,85,54,9
DEN 8440,Jari Hamström,Mads Christiansen,KuoPS,8,(10),7,7,9,9,7,(13),9,79,56,10
GER 9135,Jens Biederer,Johannes Kindermann,HSC,13,13,(17),10,4,(18),8,8,7,98,63,11
GER 9131,Jörn Wille,Martin Bergmann,MSC,10,9,6,12,12,5,(15),11,(14),94,65,12
BEL 8613,Kim Van Assche,Katja Frühwald,LZF,15,14,(23),14,8,15,12,14,(18),133,92,13
DEN 8232,Jonas Christiansen,Brian Sørensen,Hellerup Sejlklub,(24) DNC,(24) DNC,18,13,10,16,13,12,11,141,93,14
GER 8928,Christina Burger,Martin Lietz,FSV03E.V.,(20),15,12,16,(18),13,11,16,16,137,99,15
SWE 8859,Tomas Franzén,Lars Lindgren,RJK,16,18,9,(20),7,14,19,17,(24) DNC,144,100,16
SWE 9117,Fredrik Molander,Tomas Jaxing,LDSS,14,(17),15,15,13,(17),17,15,12,135,101,17
GER 8563,Stefan Schmidt,Klaus Heeschen,SVSS,(21),12,(19),18,17,12,16,19,13,147,107,18
GER 9070,Stefan Köchlin,Andreas Achterberg,SVS,3,5,4,(24) DNF,(24) DNC,24 DNC,24 DNC,24 DNC,24 DNC,156,108,19
DEN 8828,Erik Schibsbye,Michael Ordell,Fredericia Sejlklub,18,(21),16,(22),19,21,18,18,17,170,127,20
DEN 8677,Rasmus Andersen,Lars Henrik Andersen,Aalborg Sejlklub,17,19,20,17,20,(24) DNC,20,20,(24) DNC,181,133,21
DEN 8472,Torben Andersen,Klaus Søndergaard,Holbæk Sejlklub,19,20,(22),21,(22),19,21,21,15,180,136,22
DEN 9109,Hans Genefke,Etienne Bourbeau,HS,22,22,21,19,21,20,22,(24) DNC,(24) DNC,195,147,23
