Nation,Segelnr,Rorsman,Besättning,Klubb,"R1
20100904","R2
20100904","R3
20100904","R4
20100904","R5
20100905","R6
20100905","R7
20100905",Båtnamn,Total,Plats
DEN,8962,Jörgen Bojsen-Möller,Jacob Bojsen-Möller,Hellerup,(3.0),1,1,1,1,1,1,,6,1
DEN,8964,Jan Saugman,Morten Ramsbaek,KDY,1,2,2,(4.0),2,2,2,,11,2
SWE,8926,Ebbe Rosén,Olle Wenrup,MKS,2,3,3,3,3,(4.0),3,,17,3
DEN,8440,Mikkel Christiansen,Mads Christiansen,Aalborg Sejlklub,5,4,6,(7.0),4,3,4,Yellow Submarine,26,4
SWE,8655,Kalle Nilsson,Joakim Peterson,SS Kaparen,4,(7.0),5,2,6,6,5,Komåblås 18,28,5
SWE,0,Marcus Haas,Johan Calvert,GKSS,6,5,7,5,(8.0),5,6,,34,6
SWE,8787,Lars Bjerke,Tore Reinhold,BKSS,7,6,4,6,7,(9.0),8,,38,7
SWE,8912,Tom Hastenpflug,Toni Hastenpflug,SSÅV,9,8,(10.0),8,5,8,7,OTTO,45,8
SWE,8257,Peter Andersson,Per-Eric Thörnström,SSVÄ,8,11,11,11,(12.0),7,10,,58,9
SWE,8837,Tord Lawner,Thomas Gustafson,BKSS,(11.0),9,9,10,11,10,9,,58,10
SWE,8581,PA Hallberg,Dr Frank Bach,LjSS,10,10,8,9,9,13,(14.0),,59,11
DEN,8828,Michael Wonterghem,Fabiola Wonterghem,Sorö Seljforening,13,12,12,12,(14.0),11,12,Think positive,72,12
SWE,8917,Jesper Fowelin,Christopher Stadelman,ÖLSS,12,13,(14.0),13,13,12,13,,76,13
SWE,8323,Hanna Bach,Fredrik Bach,SSN,14,14,15,15,15,(16.0),11,Fast & Furious,84,14
SWE,7667,Caroline Lexén,Sven Flood,BKSS,16,16,(17.0),16,10,14,15,,87,15
SWE,8412,Simon Kindt,Johan Heander,MSS,15,15,13,14,16,15,(OCS),,88,16
SWE,7507,Frederick Somerville, ,BKSS,(DNF),DNS,16,DNS,17,17,DNF,,107,17
DEN,9025,Per Larsen,Bent Lundsager,Hellerup,(DNF),DNF,DNS,DNF,DNS,DNS,DNS,,114,18
