nation,Boat No,Helm,Crew,Club,Race 1,Race 2,Race 3,,Pos
GBR,8774,Ian Pinnell,Steve Hunt,,,1,1,,1
GBR,0,Jack Hayhurst,Adrian Coates,,1,2,2,,2
GBR,8419,Stuart Turnbull,Jason Lunn,,2,,,,3
GBR,8685,Richard Sims,Simon Wood,,,3,3,,4
GBR,8701,Rob Napier,Martin Bristow,,,,,,5
GBR,8552,Russell Short,Andrew Short,,3,,,,6
,,,,,,,,,7
,,,,,,,,,8
,,,,,,,,,9
,,,,,,,,,10
,,,,,,,,,11
