,Sail No,Helm,Crew,Club,Series Place,Race 1,Race 2,Race 3,Race 4,Series Points,Place
GBR,8774,Ian Pinnell,Steve Hunt, ,1,3*,1,1,1,3,1
,8555,Charles Walters,Nick Murray,Datchet Water SC,2,1,2,4*,4,7,2
,8787,Terry Scutcher,Christian Debitsch,Shotley SC,3,4,RET13*,2,2,8,3
GBR,8701,Rob Napier,Matthew Bristow,HISC,4,2,4,6*,5,11,4
,8694,Andy Williams,Andy Edwards,PYSC,5,6,RET13*,3,3,12,5
,8780,Jack Hayhurst,Adrian Coates,Carsington SC,6,5,5,5,6*,15,6
,8650,Terry Selfe,Alan Montague,Stone SC,7,9*,3,9,8,20,7
,8752,Chris Dando,Donald Sloan,Stone SC,8,7,8*,7,7,21,8
,8474,Chris Thorne,Chris Romans,PYSC,9,10*,6,8,9,23,9
,8678,Tim Berry,Simon Wake, ,10,8,7,10*,10,25,10
,8511,Peter Poole,Stuart Noth,WYC,11,12*,10,11,11,32,11
,8532,Tom Clayton,Alex Cull,Shotley SC,12,11,9,DNC13*,DNC13,33,12
