NAT Sail number,HELMSMAN, Crew, Club,1,2,3,4,5,6,7,TOTAL,
GBR 8552,Mark Upton-Brown,Ian Mitchell,HAYLING SC,3,2,6,2,10*,2,7,39.4,1
SWE 8232,Ebbe Rosén,Olle Wenrup,MKS,13*,4,4,1,3,9,2,39.7,2
USA 8266,Howard Hamlin,Mike Martin,NHYC,9,1,1,3,4,10*,9,43.7,3
GER 8670,Wolfgang Hunger,Holger Jess,PYC BERLIN,RDG,18*,3,4,2,13,3,51.4,4
SWE 8655,Krister Bergström,Thomas Moss,GKSS,2,22*,8,7,11,3,1,52.7,5
DEN 8566,Hans Jørgen Riber,Adam Malling,SKS,1,13,13,8,16*,5,6,73.7,6
USA 7200,Ali Meller,Allan Johnson,W.RIVER SC,8,26*,7,5,5,8,15,82.0,7
USA 8629,Tyler Moore,Scott Iklé,HYANNIS YC,10,9,12,18*,1,6,16,82.7,8
GBR 8672,Ian Barker,Paul Young,HAYL.IS.SC,17,6,2,9,23*,14,10,88.7,9
DEN 8622,Tom Bøjland,Anders Friis,SES,5,10,17,17,8,26*,4,94.0,10
DEN 8620,Rasmus Damsgaard,Søren Overbeck,HS,12,12,5,10,7,16,20*,97.0,11
GER 8550,Dietrich Scheder-Bieschin,Johan Arvedson,NRV,RDG,5,9,14,37*,15,21,98.7,12
DEN 8082,Kim G. Christensen,Erik Ørsted,AARHUS YC,24,3,16,13,12,7,34*,107.7,13
GBR 8624,Ian Pinnell,Ian Godfrey,NSC,21,57*,10,6,6,12,26,116.4,14
DEN 8656,Jørgen Schönherr,Jacob Bojsen-Møller,KS,22,24*,15,15,21,4,13,124.0,15
SWE 7343,Kalle Nilsson,Johan Barne,GKSS,7,11,22,22,9,22,28*,129.0,16
GER 8669,Tim Böger,Philip Christiani,HAMBURG SC,23,7,21,12,29*,23,8,130.0,17
USA 8191,Macy Nelson,Mike Mills,W.RIVER SC,11,14,18,11,47*,38,30,158.0,18
GBR 8556,Richard Tew,Simon Hiscooks,RYA,15,21,24,24,19,19,DNF*,158.0,19
DEN 8476,Jan Saugmann,Morten Ramsbæk,HILLEROD S,32,35*,27,21,32,17,5,169.0,20
DEN 8330,Lars Espersen,Søren Rohde,RS,19,27,23,20,25,25,39*,175.0,21
FRA 8484,Phillip Blanchard,Alain Beltzung,AC D'A-LOR,30,34*,11,32,14,33,25,181.0,22
GER 8657,Martin Görge,Rainer Görge,DUESSELD.Y ,18,31,14,16,13,DNF*,54,182.0,23
GER 8570,Hans-Heinrich Rix,Steffen Achenbach,CKA,26,20,28,43,27,DSQ*,14,194.0,24
SUI 8426,Marcell Plüss,Yvo Durr,SVT,35,36,57*,25,15,37,12,196.0,25
GBR 8521,Paul Towers,Dan Johnson,BURTON S.C ,43,41,30,44*,17,1,42,203.5,26
SWE 8619,Mikael Ahrbom,Claes Thurell,KSSS,14,25,34,37,39,39*,19,204.0,27
AUS 8638,Hugh Stoddart,Matthew Owen,M.HARB. YC,37,37,DNC*,33,40,11,11,205.0,28
GBR 8378,Martin Hodgson,Paul Beasley,STONE SC,29,29,20,35,38*,24,33,206.0,29
DEN 8551,Jacob Ernst,Jesper Ernst,HELLERUP S ,16,16,39,19,33,57*,48,207.0,30
AUS 8548,Dean Williams,Darren Nicholson,L.MACQ. YC,57,19,31,30,DNC*,18,17,208.0,31
GBR 8640,Vernon Ralston,Simon Spratt,THORPEB YC,40,60*,19,29,26,20,51,221.0,32
GER 8649,Ronald Roos,Stefan Böhm,SV WUP.,25,15,25,DSQ*,49,21,53,224.0,33
GBR 8650,Ian Montague,Geoff Kimber,STONE SC,20,41,38,40,59*,30,24,230.0,34
GER 8634,Jörgen Thumann,Franco Weichel,TVS JORK,55,8,37,39,60*,42,23,240.0,35
FRA 8455,Marcel Buffet,Trouillet Damien,CDLV PARIS,33,49,33,31,24,DNF*,37,243.0,36
USA 8660,Terry Neff,Bill Smith,MIN. YC,53,43,26,34,22,34,DNC*,248.0,37
SWE 8427,Jan Eriksson,Kalle Byrenius,NSS,27,32,29,36,DNC*,27,63,250.5,38
GER 8376,Volker Niedick,Stefan Heising,BSV,49*,46,40,26,31,29,43,251.0,39
AUS 8627,David Porter,Peter Holden,M.HARB. YC,27,55*,36,41,20,53,38,251.5,40
GER 8560,Thore Michels,Andreas Schmidt,WSCW,44,38,35,46,18,50*,41,258.0,41
GBR 8429,Rob Napier,Kimball Morrison,H.LORDS YC,46,17,61*,28,45,48,49,269.0,42
GER 8665,Nicolai Völckner,Lars Dehne,HAMBURG SC,34,65*,42,38,35,59,40,284.0,43
GER 8666,Andreas Thomsen,Paul Schultz,REG.V.ELBE,42,52,32,42,46,52*,36,286.0,44
GBR 8481,Philippe Boite,Bill Masterman,CVM,47,44,43,23,72,DSQ*,22,287.0,45
DEN 8094,Jacob Thomasen,Michael Bang,KDY,58*,53,44,47,36,47,27,290.0,46
BEL 8553,Paul Gorremans,Frederic Roucayrol,VVWA,54,DSQ*,48,51,57,30,18,294.5,47
GBR 8555,David Smithwhite,Rob Sutherland,F.POND SC,52,23,51,52,56,28,DNF*,298.0,48
GER 8609,Christian Müllegans,Hartwig Friederichs,SV WUP.,31,47,47,49,53,44,62*,307.0,49
GER 8630,David Thiemann,Mathias Haase,YC OSTENM. ,38,67,54,27,30,DNC*,57,309.0,50
GBR 8635,Terry Scutcher,Simon J. Lake,SHOTLEY SC,64,28,64*,54,42,36,52,312.0,51
AUS 8603,Ian Dunn,Carter Jackson,M.HARB. YC,68*,58,56,45,58,32,32,317.0,52
