Nation,Boat NO,Helm,Crew,Boat Name,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,Race 11,Points,Place
ZIM,7640,Shayne Van Leeuween,Mike Stenson,MARGIES MAGIC,,,,,,,,,,,,,1
RSA,8584,Nigel Milln,Trevor Rapson,Flying Freddy,,,,,,,,,,,,,2
,7627,John Groves,Derek Grossmith,Pink Panther,,,,,,,,,,,,,3
,5267,Peter Harrison,Steven Cragie,Amethyst,,,,,,,,,,,,,4
RSA,0,Kevin O'Connor,Robyn Carr,Absolutely 4th St,,,,,,,,,,,,,5
RSA,0,Tony Baker,Dave good oke,Lindie Lou,,,,,,,,,,,,,6
,0,Justin Bird,Mark Mad oke,Sitatunga,,,,,,,,,,,,,7
RSA,0,Grant Ballantyne,Simone Hafford,Aquarius,,,,,,,,,,,,,8
RSA,0,Mike Price,Rob Price,Suggestion Box,,,,,,,,,,,,,9
,0,,Assorted Waterkeyns,Sgt. Pepper,,,,,,,,,,,,,10
