Nation,Boat No,Skipper,Gast,Klub,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Points,Place
GER,8875,Jens Findel,Johannes Tellen,KYC,5,1,2,2,-6,1,3,14,1
DEN,8962,Jorgen Bojsen-Moller,Jacob Bojsen-Moller,Hellerup Sejlklub,3,-4,3,1,4,3,2,16,2
GER,8957,Dr. Wolfgang Hunger,Julien Kleiner,PYC,1,2,6,5,2,-9,4,20,3
DEN,8964,Jan Saugmann,Morten Ramsbk,HiS/KDY,6,3,1,3,5,6,-7,24,4
GER,8728,Martin Gorge,Rainer Gorge,Kieler Yacht Club eV,11,(DNS),9,4,1,2,5,32,5
GER,8975,Naich Schomaher,Holger Jess,KYC,7,5,5,-10,9,5,1,32,6
GER,8992,Claas Lehmann,Leon Oehme,NRV,4,6,4,6,7,-14,9,36,7
GER,8958,Stefan Koechlin,Andreas Achterberg,SVS,2,(DNC),DNC,8,3,4,6,48,8
GER,9020,Tim Boger,Markus Schoner,HSC,8,8,10,(DNC),13,7,8,54,9
DEN,8440,Mikkel Christiansen,Mads Christiansen,AS,-18,7,7,12,10,8,11,55,10
FIN,8632,Jari HamstrOm,Tuomas Laurila,KuoPs,13,9,11,-14,8,11,10,62,11
DEN,8828,Jon Andersen,Lasse Andreasen,Kalundborg,9,10,12,11,-18,12,14,68,12
FIN,8466,Sampsa Hyysalo,Antti Salonen,HSK,-17,11,8,13,12,13,12,69,13
DEN,8826,Anders Friis,Tom Bojland,BS,12,12,14,7,11,15,(DNC),71,14
DEN,8232,Jonas Christiansen,Laurids E. Kirchoff,Hellerup Sejlklub,10,15,13,-17,15,10,15,78,15
DEN,8551,Russell Brice,Tristan Andrewartha,Hellerup Sejlklub,16,14,15,16,14,-18,17,92,16
FIN,8768,Jukka Nieminen,Tafu Meittinen,SP,15,(DNC),DNC,DNF,17,16,13,111,17
GER,8775,Jan Sell,Wiebke Gewinn,SVWS,14,13,(DNC),15,DNC,DNC,DNC,117,18
GER,9000,Enno Wilts,Marcus Neuss,Segelvereinigung Barth-Borgwall e.V.,(DNF),DNF,DNC,DNF,19,17,16,127,19
GER,8500,Christian Henge,Katharina Menge,OSG,(DNC),DNC,DNC,18,21,20,18,127,20
GER,8579,Hans-Jurgen Rentelmann,Peter Wackerbauer,BSC,19,(DNS),DNC,DNF,16,19,DNC,129,21
DEN,9025,Per Larsen,Henrik Andersen,FAS,(DNC),DNC,DNC,9,DNC,DNC,DNC,134,22
GER,8049,Matthias Tellen,Moritz LOther,Riester Segel Club,(DNC),DNC,DNC,DNF,20,21,DNC,141,23
GER,6685,Katja Killian,Jens KOhne,OSG,(DNC),DNC,DNC,DNC,DNC,DNC,DNC,150,24
