NATION,NR,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,TOTALT,NET,PLAC
SWE,9002,Per Wester,Lars Wester,BKSS,1,[2],1,1,5,3,1
SWE,9259,Mikael Gustavsson,Tore Reinhold,BKSS,[2],1,2,2,7,5,2
SWE,8945,Tord Lawner,Tomas Gustafsson,BKSS,3,3,[6],5,17,11,3
SWE,8974,Thomas Widstrand,Rolf Mattsson,GKSS,[5],5,4,3,17,12,4
SWE,8632,Mats Lindgren,Rasmus Tengblad,BKSS,6,4,5,[7],22,15,5
SWE,9107,Fredrik Hansson,Mattias Alm,LeSS/BKSS,[DNF 9],DNF 9,3,4,25,16,6
SWE,8917,Jesper Fowelin,Patrik Linder,ÖlSS/BKSS,4,6,[7],6,23,16,7
SWE,9117,Fredrik Molander,Thomas Jaxing,BKSS,7,[DNC 9],DNC 9,DNC 9,34,25,8
