Country,SailNo,HelmName,CrewName,Club Shortname,R1,R2,R3,R4,R5,R6,Total,Nett,Rank
SWE,9181,Malin Broberg, Johan Röök,BKSS,1,1,1,1,1,[33 DNC],38,5,1st
SWE,8926,Ebbe Rosen,Olle Wenrup,MäKSK,2,2,[12],3,7,1,27,15,2nd
SWE,8859,Tomas Berg,Johan Calvert,BKSS,3,3,[10],2,4,4,26,16,3rd
SWE,9143,Thomas Lundberg,Johan Strömdahl,KSSS,4,[6],4,5,2,3,24,18,4th
SWE,9222,Tomas Franzen,Lars Lindgren,RJK,[8],5,3,4,8,2,30,22,5th
SWE,9002,Per Wester,Lars Wester,BKSS,[12],4,2,8,3,6,35,23,6th
SWE,9029,Mikael Olesen,Ulf Camitz,VBK,8,[10],7,9,6,5,45,35,7th
SWE,8807,Didrik Dahlström,Joel Jelf,KSSS,5,7,6,[10],9,8,45,35,8th
SWE,9171,Martin Fridh,Mats Dahlander,LBSK,10,9,5,7,5,[33 DNC],69,36,9th
SWE,9038,Kalle Byrenius,Joakim LIndvall,Åre Slk Segling,6,[12],9,6,11,7,51,39,10th
SWE,8586,Galen Mack,Calle Janmark,KSSS,8,8,11,[33 DNF],10,9,79,46,11th
SWE,9013,Anders Nilsson,Jonas Palmkvist,ABBK,11,11,8,11,12,[33 DNC],86,53,12th
