Nationalitet,Segelnummer,HelmName,CrewName,Club,R1 14/9,R2 14/9,R3 14/9,R4 14/9,R5 15/9,R6 15/9,Total,Poäng,Rank
DEN,9055,Fabiola Wonterghem,Michael Wonterghem,Holbaek Sejklubb,1,1,2,1,3,[5],13,8,1st
SWE,9181,Malin Broberg,Johan Röök,BKSS,2,4,1,[6],5,1,19,13,2nd
SWE,9143,Thomas Lundberg,Johan Strömdahl,Kungliga Svenska Segel Sällskapet,3,2,6,2,1,[10],24,14,3rd
SWE,8962,Peter Bökmark,Martin Persson,BKSS,6,[15],3,4,4,2,34,19,4th
SWE,9002,Per Wester,Lars Wester,BKSS,4,5,7,5,[8],3,32,24,5th
SWE,9259,Mikael Gustafsson,Tore Reinhold,BKSS,7,3,4,3,14,[17],48,31,6th
DEN,9025,Christian Seilman,Henrik Kock Thomasen,Middlefart Sejklub,5,6,5,[12],7,9,44,32,7th
SWE,9029,Mikael Olesen,Ulf Camitz,Viggbyholms Båtklubb,[11],10,10,8,6,6,51,40,8th
SWE,8807,Didrik Dahlström,Joel Jelf,Kungliga Svenska Segel Sällskapet,8,9,8,9,[16],7,57,41,9th
SWE,9171,Martin Fridh,Mats Dahlander,Lommabuktens Seglarklubb,9,7,9,14,[15],15,69,54,10th
SWE,9062,Robert Sjögren,Matias Heiding,BKSS,13,11,11,[20 DNS],9,11,75,55,11th
SWE,9038,Karl Byrenius,Jakob Lindvall,Åre Slalomsklubb Segling,10,[21 DNF],21 DNS,7,12,13,84,63,12th
SWE,9128,Håkan Larsson,Fritjof Sunesson,Domsands Båtsällskap,14,12,13,13,[17],14,83,66,13th
SWE,9092,Tom Hastenpflug,Knut Hastenpflug,Segelsällskapet Åmålsviken,12,8,14,10,[23 DNS],23 DNS,90,67,14th
SWE,9013,Anders Nilsson,Jonas Palmkvist,Abbekås Båtklubb,[21 DNS],21 DNS,12,11,13,12,90,69,15th
SWE,9117,Fredrik Molander,Thomas Jaxing,BKSS,[21 DNS],13,21 DNS,20 DNS,10,8,93,72,16th
SWE,8859,Tomas Berg,Johan Calvert,BKSS,[23 DNC],23 DNC,23 DNC,23 DNC,2,4,98,75,17th
SWE,8632,Mats Lindgren,Patrik Linder,BKSS,15,14,15,15,[18],16,93,75,18th
SWE,8116,Hans Sidén,Anders Wikström,Motala Segelsällskap,17,16,16,[23 DNC],23 DNS,23 DNS,118,95,19th
SWE,8974,Thomas Widstrand,Rolf Mattsson,BKSS,[23 DNC],23 DNC,23 DNC,23 DNC,11,18,121,98,20th
SWE,8873,Stina Granholm,Martin Granholm,Hjuviks Båtklubb,16,21 DNS,21 DNS,20 DNS,[23 DNS],23 DNS,124,101,21st
SWE,8926,Ebbe Rosén,Olle Wenrup,Mälarhöjdens Kanotsällskap,21 DNF,21 DNS,21 DNS,20 DNS,[23 DNS],23 DNS,129,106,22nd
