Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Netto,Brutto,
FRA,8253,Come Lafortune,Maud Briet,,3*,2*,1,1,2,2,2,8,13,1
FRA,8270,Laurent Brel,Thomas Engelhard,,2,1,2,3*,3*,3,1,9,15,2
FRA,8980,Alexis Venet,Geraldine Bourguet Laforet,,4*,3,4*,2,1,1,3,10,18,3
FRA,8640,Thomas Chartier,Jean-Baptiste Kopecky,,1,4,3,4,8 DNS*,8 DNS*,8 DNS,20,36,4
FRA,9031,Vivien Lucienne,Robin Lucienne,,7*,5,6*,5,4,4,5,23,36,5
FRA,8336,Amaury Violet,Damien Valtier,,5,7*,5,6*,5,5,4,24,37,6
SUI,8099,Nicolas Leluan-Andrieu,Arnaud Delacroix,,6,6,8 OCS*,8 DNF*,8 DNF,8 DNS,8 DNS,36,52,7
