Nat,Sail#,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,YOB,CrewYOB,Score,Rank
POL,8736,Jan Sibilski,Andrzej Borowiak,ŻEGLARSKI LUDOWY KLUB SPORTOWY KIEKRZ W,2,1,[6],1,1,1,1999,1967,6,1
POL,9170,Karol Milewski,Bartosz Milewski,YACHT KLUB STAL GDYNIA,1,[3],3,2,2,3,1985,1987,11,2
CAN,7606,Robert Bartlewski,Stanisław Karmoliński,---,4,2,[7.1 SCP],4,3,4,1970,2000,17,3
POL,9140,Dominik Ostrowski,Maciej Goździk,---,[11],5,4,3,6,2,1976,1980,20,4
AUS,9110,Michał Ruciński,Bartosz Sadowski,POLSKI ZWIĄZEK KLASY OMEGA/UNIWERSYTET M,3,6,1,[9],7,7,1982,1998,24,5
POL,9135,Dariusz Konopczak,Paweł Henszke,YACHT KLUB POLSKI SZCZECIN,7,8,9,5,[12],6,1961,1980,35,6
POL,8751,Paweł Kluczyński,Teofil Nowak,ORGANIZACJA ŚRODOWISKOWA AZS W POZNANIU,11.1 SCP,9,[17 UFD],6,4,9,1982,2000,39.1,7
POL,8665,Marcin Panek,Jakub Grabowski,---,5,4,[17 UFD],8,11,13,1983,1990,41,8
POL,8909,Michał Kępski,Maksymilian Zaniewski,REGATOWY KLUB SPORTOWY LASERY-ZEGRZE,9,10,5,12,[15],5,1988,1993,41,9
POL,8906,Jacek Luwiczak,Grzegorz Szreder,YACHT KLUB STAL GDYNIA,8,7,8,[14],10,12,1945,1967,45,10
POL,9255,Adam Kuczyński,Adam Najmowicz,YACHT KLUB STAL GDYNIA,[17 DNF],13,7,10,8,10,1976,1980,48,11
POL,9119,Krzysztof Kluza,Kacper Madoń,ŻEGLARSKI LUDOWY KLUB SPORTOWY KIEKRZ W,[17 DNF],11,13,7,5,17 DSQ,1987,1997,53,12
POL,9020,Justyna Bunar,Michał Prończuk,---,10,[15],11,11,9,15,1978,1995,56,13
POL,8875,Piotr Duma,Mariusz Michalski,KLUB ŻEGLARSKI NEPTUN / YACHT KLUB STAL,13,[17 RET],12,13,13,8,1978,1978,59,14
POL,8656,Anna Zabłocka,Kacper Olszański,CENTRUM ŻEGLARSKIE,12,12,10,[15],14,11,1990,2004,59,15
POL,8770,Jakub Gąsiorowski,Jarosław Mikienko,YACHT KLUB STAL GDYNIA,14,14,14,[16],16,14,1976,1976,72,16
