Nation,Boat no,Coureurs / Équipage,,club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,,points,place
FRA,9075,Boite Philippe,Grossmann Erwan,CVSQ,DNF,1,3,2,1,1,1,2,LES GLENANS,11,1
FRA,8716,Martin Aline,De Monteil David,C V SEINE-PORT,2,DNF,1,1,3,5,3,4,C V SEINE-PORT,19,2
GER,8975,Holzapfel Alexander,Worm Stefan,PSVK GER,1,6,5,4,14,3,4,1,,24,3
FRA,8904,Martin Nicolas,Lafortune Julien,C V SEINE-PORT,6,7,2,5,2,4,5,DNF,C V SEINE-PORT,31,4
FRA,8676,Le Brun Florence,Gendry Pierre,FFVOILE,5,18,11,3,6,2,2,3,S N O NANTES,32,5
FRA,,Boyer Etienne,Boyer Emmanuel,C V BORDEAUX C M,7,2,9,6,5,6,12,5,C V BORDEAUX C M,40,6
FRA,8820,Di Pede Thibault,Toupet Fabrice,C V SEINE-PORT,3,3,4,7,7,13,6,10,C V SEINE-PORT,40,7
FRA,8870,Silvestre Christian,Auberger Nicolas,Y C ILE DE FRANCE,13,4,6,9,4,18,7,7,YC Grenoble Chara.,50,8
FRA,,Doerenbecher Francis,Doerenbecher Ivan,C N DE SCIEZ,4,13,13,12,9,10,10,6,C N DE SCIEZ,64,9
FRA,,Viaud Pascal,Nevo Laurent,S R ROCHELAISES,9,9,8,19,8,DNF,9,15,ASPTT LA ROCHELLE,77,10
FRA,8687,Hermieu Jean Philippe,Simonnot Christian,U S TROPEZIENNE,8,14,18,11,16,8,11,9,Y C TOULON,77,11
FRA,9084,Dechauffour Jacques,Dechauffour Sabine,S N O NANTES,DNF,10,7,18,10,7,14,12,S N O NANTES,78,12
FRA,,Le Morvan Bastian,Gasquet Aristide,ASPTT TROYES,10,16,12,8,11,17,15,14,C V SEINE-PORT,86,13
FRA,9068,De Lisle Francois,Brillaud Herve,C N FERRET,11,8,14,14,15,DNF,18,8,C N FERRET,88,14
FRA,8002,Artielle Jean Philippe,Karadjian Alain,Y C BEAULIEU,15,5,10,17,17,11,16,18,CVSQ,91,15
FRA,9086,Neidhart Elisabeth,Gougeon Matthieu,CVML,12,12,15,10,12,14,DNF,DNF,CVML,101,16
FRA,,Bos Jerome,Bos Antoine,SNSablais,DNF,17,21,15,19,9,13,11,C N B P P,105,17
FRA,,Le Roy Riwanon,Ancelot Jean Claude,ASN QUIBERON,DNF,11,19,13,20,15,19,13,ASN QUIBERON,110,18
FRA,,Zimmowitch Killian,Zimmowitch Jerome,YCSB,18,19,20,23,18,12,8,DNF,C N ST CAST,118,19
FRA,8542,Leroy Philippe,Guitteny Marc-Henri,S N O NANTES,17,15,23,22,22,16,20,16,S N O NANTES,128,20
FRA,,Riot Marc,Dervieux Ronan,C N HAUTE SEINE,20,21,16,25,21,19,17,17,UNCL,131,21
FRA,,Duhamel Vincent,Lafortune Jordane,C V CAZAUX LAC,19,20,DSQ,16,13,BFD,DNF,19,C V SEINE-PORT,139,22
FRA,8429,Zimmowitch Jean Charles,Zimmowitch Romaric,VIRTUAL REGATTA YC,14,22,BFD,21,23,DNF,DNF,DNF,V G A ST MAUR VOILE,158,23
FRA,,Derungs Jean-Pierre,Derungs Mathis,CVML,16,23,22,24,24,DNF,DNF,DNF,CVML,161,24
FRA,,Duquesne Philippe,Bouton Fabrice,S N O NANTES,DNF,24,17,20,DNF,DNF,DNF,DNF,S R ROCHELAISES,165,25
