Sail,Skipper,,Yacht Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat,Total,Pos,
USA,9095,Macy Nelson,Nate Barton,West River/,1,[3],1,1,2,Highway 95 Revisited,5,1
USA,8930,Duane Delfosse,Mike Hull,LSYC/,2,1,[3],3,1,TBD,7,2
USA,9186,David Kirkpatrick,Keith Longson,David Kirkpatrick/,[5],2,2,2,3,David Kirkpatrick,9,3
USA,8850,Douglas Watson,Alex Taylor,Outer Harbour Centreboard Club/,6,4,5,4,[7],Dr. Crash,19,4
CAN,9138,Robert Bartlewski,Marek Balinski,OHCC/,[8],5,4,6,5,,20,5
USA,9003,Art Gleason,Charlie Van Voorhis,Duxbury YC/,3,[7],6,7,6,,22T,6
USA,8643,Barney Harris,,PRSA & WRSC,[13/DNS],6,7,5,4,Team Spot,22T,7
USA,8883,Ben Komar,Michael Renda,WRSC/,7,9,8,[13/DNS],13/DNS,Jane's Addiction,37,8
USA,90951*,Kelsey Averill,Ali Meller,wrsc/,4,8,[13/DNS],13/DNS,13/DNS,,38,9
USA,7873,TJ O'Brien,Russell Delovemussell,The Land of Pleasant Living/,[13/DNF],13/DNS,13/DNS,13/DNS,13/DNS,National Bohemian,52T,10
USA,9173,Sterling Spruill,,Hampton YC,[13/DNF],13/DNS,13/DNS,13/DNS,13/DNS,forever crewless,52T,10
BER,9176,Gary Taylor,Brett Wright,Royal Spanish Boat Club/,[13/DNF],13/DNF,13/DNS,13/DNS,13/DNS,Hakuna Matata,52T,10
