SAIL,NUMBER,Helm,Crew,CLUB/ORG,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,BOAT NAME,NET,TOTAL,Place
USA,8856,Ethan Bixby,Drew Butner,St. Petersburg Sailing Center,3,1,1,2,[5],4,1,5,Science Project,17,22,1
USA,9005,Tom Kivney,Gordon Russell,Hingham Yacht Club,1,2,2,1,2,[7],5,7,Katiebear,20,27,2
USA,8851,Ted Huebner,Mike Komar,Various,[5],4,4,5,1,3,2,3,None,22,27,3
USA,8265,Luke Ingalls,John Ingalls,Sakonnet YC,2,7,6,[DNF - 9],DNS - 9,1,3,2,Jumping Jack Flash,30,39,4
USA,8951,David Kirkpatrick,Keith Longson,Sail Newport,4,3,5,4,[DNF - 9],5,7,4,Toxic Masculinity,32,41,5
USA,8715,Paul Taylor,Alex Tong,N/A,7,6,[8],6,4,6,4,1,None,34,42,6
USA,8930,Duane Delfosse,Mike Hull,Lake Sunapee Yacht Club,6,[8],7,3,3,2,8,6,TBD,35,43,7
IRL,8987,Peter Scannell,John Dunlea,Monkstown Bay Sailing Club,8,5,3,7,6,8,6,[DNS - 9],Lookadatla,43,52,8
