Nation,Sail #,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Boat,Total,Place
USA,8864,Mats Elf,Paul Pihl,,1,2,6,2,1,5,1,Notorious BFD,18,1
USA,8829,Miles Johannessen,Jaz,,2,5,5,3,2,1,4,Jazzles,22,2
USA,9153,Pierre,Courtney,,9,4,3,1,3,3,3,Pumpkin,26,3
CAN,8866,Cynthia des Brisay,Charles Hansen,,6,8,2,4,5,2,2,Chia,29,4
USA,8868,Piper Dunlap,Dan Ginther,,3,9,1,7,4,4,8,Dooflicker,36,5
USA,6991,Sugar Flanagan,Alyce Flanagan,,5,6,4,10,7,9,6,Zaya,47,6
USA,8439,Anne Fitzpatrick,Christian Pittack,,4,1,10,8,11,11,12,Yes Dear!,57,7
USA,8782,Ian Reeves,Colin Wahl,,11,3,8,12,12,6,5,PEG,57,8
CAN,8755,Brian Trainor,Brenden Trainor,,10,10,7,10,10,7,7,Kryptonite,61,9
USA,7153,Colin Dunphy,Ian,,7,7,12,9,9,8,11,Crunchy Vegetables,63,10
USA,8631,Thomas Crawford,Andrea Reiter,,14,11,11,6,6,10,9,Incognito,67,11
USA,882,Ben,Jon,,15,12,9,5,8,12,10,Benjo,71,12
USA,7610,Niki,Chris,,12,13,13,13,13,13,13,Bugbear,90,13
USA,8435,Patrick McGale,Chris,,13,14,14,11,14,14,14,HMS McGale,94,14
USA,9102,PVG,Drew,,8,15,15,15,15,15,15,“Red Boat”,98,15
