Nation,Sail,Skipper,Crew,Yacht Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Boat,Total,Pos
USA,9165,Kelsey Averill,RJ Bay,WRSC/EYC,1,2,2,1,2,[3],3,BoatyMcBoatFace,11,1
USA,8951,David Kirkpatrick ,David Kirkpatrick,,2,1,4,[5],1,1,4,David Kirkpatrick,13,2
USA,8930,Duane Delfosse ,,LSYC,4,5,1,3,[6],6,1,No Name,20,3
IRL,8883,Peter Scannell,Michael Renda,WRSC,6,4,3,[8],4,5,2,Jane's Addiction,24,4
USA,9095,Macy Nelson ,,West River,3,3,6,4,7,[8],5,Highway 95 Revisited,28,5
USA,8660,Rob Hoffman,Russell Miller,WRSC,5,8,5,2,[9],9,6,Macy's Lindsay,35,6
CAN,9138,Marek Baliński,Alex Byczko,OHCC,7,6,7,7,5,4,[9],,36,7
USA,9183,Dylan Breton,Matthew Breton,WRSC,[11/DNS],11/DNS,9,6,3,2,7,2 Brothers Racing,38,8
USA,8850,Doug Watson,Gabe Watson,Outer Harbour Centreboard Club,8,7,8,[9],8,7,8,Dr. Crash,46,9
USA,9173,Sterling Spruill ,,Hampton YC,[11/DNS],11/DNS,11/DNS,11/DNS,11/DNS,11/DNS,11/DNS,Trouble,66,10
