SAIL,NUMBER,Helm,Crew,CLUB/ORG,Race 1,Race 2,Race 3,Race 4,Race 5,BOAT NAME,NET,TOTAL,Place
USA,9072,Mike Holt,Rob Woelfel,Santa Cruz Yacht Club,1,[2],1,1,2,IO Integration,5,7,1
USA,9160,Howard Hamlin,Steve Bourdow,NHYC/ABYC,[DNC - 16],1,3,3,3,None,10,26,2
USA,9106,Mike Martin,Adam Lowry,StFYC NHYC,3,3,7,[RET - 16],1,Mike's Boat,14,30,3
USA,8939,Clark Hayes,Eric Schwab,Corinthian Yacht Club of Seattle,2,7,2,[8],4,Controlled Chaos,15,23,4
USA,8714,Reeve Dunne,Ted Conrads,N/A,[6],4,6,2,5,None,17,23,5
USA,8931,Elsa Balton,Ben Kaas,CBC,4,6,8,6,[10],Vikings C,24,34,6
USA,8829,Lena Captain,Miles Johannessen,Seattle Yacht Club,5,8,5,7,[11],Viking A,25,36,7
USA,9082,Jeff Miller,Adam Wolnikowski,Santa Cruz YC,7,[10],4,9,6,Miracle,26,36,8
USA,8937,Tim Murphy,Brendan Heussler,None,9,5,[10],5,8,None,27,37,9
USA,9083,Aaron Ross,Rob Waterman,Santa Cruz Yacht Club,8,[9],9,4,7,Cosmic Thing,28,37,10
USA,9073,Jazzy Gerraty,Colin Wahl,None ,10,11,11,[DNC - 16],9,Vikings B,41,57,11
USA,7877,Steve Anderes,Nathan De Vries,IYC,[DNC - 16],DNC - 16,DNC - 16,DNC - 16,DNC - 16,I am back....,64,80,12
USA,8908,Antoine Laussu,Alexandre Laussu,PSSA,[DNC - 16],DNC - 16,DNC - 16,DNC - 16,DNC - 16,None,64,80,12
USA,160*,Eric Anderson,Nic Baird,StFYC/SPYC,[DNC - 16],DNC - 16,DNC - 16,DNC - 16,DNC - 16,Howie's Good Graces,64,80,12
USA,7875,Ian O'Leary,Patrick Weaver,Byc,[DNC - 16],DNC - 16,DNC - 16,DNC - 16,DNC - 16,O’Leary construction LLC,64,80,12
