Nation,Sail,Skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total,Pos
USA,8854,Craig Thompson,Michael Curtin,,2,1,2,[4],1,1,7,1
USA,9005,Thomas Kivney,Gordon Russell,,3,2,1,1,[7],6,13,2
USA,8951,Dave Kirkpatrick,Keith Longson,,1,3,3,3,4,[7],14,3
IRL,8987,Peter Scannell,John Dunlea,,4,5,5,[7],3,3,20,4
USA,8265,Luke Ingalls,John Ingalls,,[10/DNF],10/RET,10/RET,2,2,2,26T,5
USA,8930,Duane Delfosse,Mike Hull,,7,[10/DNF],4,6,5,4,26T,6
USA,8715,Solomon Marini,Paul Taylor,,6,6,[10/DNF],5,6,5,28,7
USA,8808,Ted Bjerregaard,Matt Hersey,,5,4,6,[10/DNS],10/DNS,10/DNS,35,8
USA,9183,Michael Breton,Ben Ricci,,8,[10/DNF],7,10/DNS,10/DNS,10/DNS,45,9
