Nation,Sail #,Helm,Crew,R1,R2,R3,R4,R5,R6,R7,R8,R9,TOTAL,Throwout,Score,Place
USA,9009,Elsa Balton,Blaine Pedlow,1,1,1,2,1,7,2,2,1,18,7,11,1
USA,8576,Mike Punnett,Drew Punnett,3,3,2,1,2,3,1,6,4,25,6,19,2
USA,9027,Pierre Jeangirard,Ben Kaas,4,7,4,4,3,2,3,3,2,32,7,25,3
USA,8829,Miles Johannessen,Paul Pihl,2,2,3,3,4,1,4,RET,DNS,35,8,27,4
USA,8782,Ian Reeves,Colin Wahl,5,4,7,7,5,4,5,4,3,44,7,37,5
USA,8017,Mike Poulos,Jon Seestrom,7,6,6,6,7,5,6,1,5,49,7,42,6
USA,8631,Andrea Reiter,Tom Crawford,6,5,5,5,6,6,7,5,6,51,7,44,7
