SAIL NUMBER,SAILORS,CLUB/ORG,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Race 10,BOAT NAME,TOTAL,NET,,,
USA,9072,Michael Holt,Rob Woelfel,Santa Cruz Yacht Club,1,2,1,2,4,[5],1,4,2,1,None,23,18,1
USA,0,Eric Anderson,,StFYC / SPYC,2,3,2,3,3,[8],2,2,1,2,N = 1,28,20,2
USA,9106,Mike Martin,Adam Lowry,StFYC,4,1,4,1,1,[7],3,1,3,4,The Black Boat,29,22,3
USA,9160,Howard Hamlin,Jeff Nelson,NHYC/ABYC,3,[4],3,4,2,4,4,3,4,3,None,34,30,4
USA,9082,Jeff Miller,Adam Wolnikowski,SCYC Winter Sailing,7,5,6,[DNF - 13],6,2,7,5,5,DNS - 13,None,69,56,5
USA,8937,Tim Murphy,Brendan Heussler,,6,6,5,6,7,[DNS - 13],DNS - 13,6,6,5,None,73,60,6
USA,9073,Bruce Edwards,Rich Mundell,Santa Cruz Yacht Club,5,7,[DNS - 13],5,9,3,6,9,7,DNF - 13,NAFTA,77,64,7
USA,8576,Mike Punnett,Keahi Ho,SISA,[NSC - 13],8,7,7,5,6,5,7,DNS - 13,DNS - 13,Why Not,84,71,8
USA,8680,Ryan Nelson,Mike Bishop,Encinal Yacht Club,8,[NSC - 13],8,8,8,9,8,8,8,DNS - 13,Rogue Dog n Pony,91,78,9
USA,9083,Aaron Ross,Rob Waterman,Santa Cruz Yacht Club,9,9,9,[DNS - 13],DNS - 13,1,9,10,RET - 13,DNS - 13,Rob's Olde Boat,99,86,10
USA,7877,Steve Anderes,Nathan de Vries,IYC,10,10,[NSC - 13],9,10,11,11,TLE - 13,9,DNS - 13,Spaceman Spiff,109,96,11
IRL,7875,Ian O'Leary,Matt Na,Byc,11,[RET - 13],DNF - 13,DNS - 13,DNS - 13,10,10,11,DNS - 13,DNS - 13,O’Leary construction Llc,120,107,12
