Nation,SAIL NUMBER,Helm,Crew,CLUB/ORG,Race 1,Race 2,Race 3,Race 4,Race 5,BOAT NAME,TOTAL,NET,Place
USA,9072,Mike Holt,Rob Woelfel,Santa Cruz Yacht Club,1,[4],2,1,1,IO Integration,9,5,1
USA,9160,Howard Hamlin,Jeff Nelson,NYHC/ABYC,2,1,[4],3,4,None,14,10,2
USA,9106,Michael Martin,Caleb Paine,St FYC,3,2,3,2,[RET - 13],Mike's Boat,23,10,3
USA,9004,Eric Anderson,,StFYC,15,5,1,4,[DNF - 13],N = 1,5,28,4
USA,8576,Mike Punnett,Don Smith,SISA/ABYC,4,3,[10],6,5,Why Not,28,18,5
USA,909*,Ted Conrads,Ted Conrads,N/A,[8],7,5,5,3,None,28,20,6
USA,9073,Bruce Edwards,Richard Mundell,StFYC,6,[9],6,7,2,Super Duty,30,21,7
USA,8937,Tim Murphy,Josh Goldberg,None,7,8,9,[RET - 13],RET - 13,None,50,37,8
USA,8753,Ryan Nelson,Mike Bishop,Encinal Yacht Club,10,11,8,[RET - 13],RET - 13,Rogue Rigging,55,42,9
USA,96*,Ian O'Leary,Matt Merchant,Byc,11,12,7,[RET - 13],RET - 13,Oleary construction ,56,43,10
USA,90*,AJ Conrads,Blaine Pedlow,Tahoe Yacht Club,[DNF - 13],6,DNF - 13,DNF - 13,RET - 13,None,58,45,11
USA,8084,Aaron Ross,Rob Waterman,Santa Cruz Yacht Club,9,10,[RET - 13],RET - 13,RET - 13,Rob's Olde Boat,58,45,12
