505

FINAL RESULTS FOR SERIES

CORK - Regatta 2007 - 505 Class Results, LOWPOINT Scoring System

Includes Final Jury Decisions

POS  SAIL     SKIPPER                      RACE RACE RACE RACE RACE RACE RACE RACE   TOTAL   NET
                                             1    2    3    4    5    6    7    8    POINTS  POINTS
                                           Fri. Fri. Fri. Sat. Sat. Sat. Sun. Sun.           AFTER
                                           1149 1312 1426 1148 1312 1410 1143 1317           1 DROP

  1  CAN8264  BOYD, JEFF  Martin ten Hove     1    1    1    1    1    1    1    2     9.00    7.00  CAN ON Kingston,KYC
  2  CAN8442  NELSON, MACY  Steve Adolph      2    2    2    2    4    2  DNF. DNF.   28.00   21.00  CAN ON Ottawa
  3  8610     WELDON, SHONA  Michael Wonnac   3  DNF. DNF.   4    2    3    3    1    30.00   23.00  CAN ON Ottawa,Nepean Sailing Club
  4  8698     WARE, NICK  Christian de Cham   4    4    4    3    5    4    5    5    34.00   29.00  CAN ON Kingston,Kingston Yacht Club
  5  8467     AGRELL, MICHAEL  Jei Lee      DNF.   3    3  DNF. DNF. DNF.   2    4    40.00   33.00  CAN ON Oakville,OHCC
  6  8587     WARE, PAT  Kevin Powick       DNF. DNF. DNF. DNF.   3    5    4    3    43.00   36.00  CAN ON Kingston,Kingston Yacht Club


* CORK Honour Roll of Star Athletes

Thanks to our CORK 2007 Sponsors ..
----------------------------------------------------------
CITY OF KINGSTON / THE ONTARIO TRILLIUM FOUNDATION
CANADIAN HERITAGE / SPORT CANADA / ONTARIO MINISTRY OF HEALTH PROMOTION
International Sailing Federation / Ontario Sailing Association
Kingston Economic Development Corp / Canadian Yachting Association
West Marine / The Harbour Restaurant / Mount Gay / HARDCOPY Solutions
WTC Communications / McLaughlin Boat Works / Wards Marine / Rogers
Peter's Drugstore / Panasonic / Fogh Marine / Salus Marine
Gul / Harken / Gill / Ronstan, Marlow / Holt Allen / Henry's
Empire Life / Stantive Solutions / PS2000 / RWO, Spinlock, Wichard
Kingston Yacht Club / Port Credit Yacht Club / Ashbridge's Bay Yacht Club
Toronto Sailing & Canoe Club / Etobicoke Yacht Club / Collins Bay Yacht Club
Royal Canadian Yacht Club / Royal Hamilton Yacht Club / Britannia Yacht Club

Also, Thank You "Friends of CORK" & "Volunteers" For Your Contributions
