Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Punkte,Pl.
GER,9059,Morten Bogacki,Sebastian Salein,DYC,1,1,1,1,1,,1
GER,9043,Nicola Birkner,Angela Stenger,SVaW,2,2,2,2,2,,2
FIN,9069,Jari Hamstroem,Tuomas Laurila,EMK,3,3,3,4,6,,3
GER,8550,Martha Hauschild,Michael Heyder,SCS,4,5,6,5,3,,4
GER,8519,Thure Gnadeberg,Aron Tellen,BSV,5,7,4,3,7,,5
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,6,4,5,8,5,,6
GER,8947,Ralf Schneidewind,Oliver Schürmann,KSC,7,6,7,6,4,,7
GER,8750,Konrad Otto,Kay Raum,SGS,8,8,13,7,8,,8
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,10,9,8,10,DNC,,9
GER,9000,Enno Wilts,Martin Bernauer,SVBB,14,11,11,9,9,,10
GER,8988,Daniel Czeninga,Martin Lietz,FSV 03 eV,12,14,9,11,10,,11
GER,8999,Karsten Stümpel,Ute Stümpel,HSC,9,10,14,12,12,,12
GER,8531,Anna Hauschild,Maxi Kempermann,SCS,13,12,12,13,13,,13
GER,8654,Philipp Müller,Malte Eilenstein,SGAM,11,13,12,13,13,,14
