Country,Boot,Steuermann,Vorschoter,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Brutto,Netto,Platz
GER,8940,Martin Kittsteiner,Oliver Stieglitz,HSC,2,2,[8],1,3,3,19,11,1
GER,8988,Jens Olbrysch,Oliver Thies,HSC,[5],4,1,5,1,1,17,12,2
GER,8929,Andreas Bock,Rolf Meyer,BYC,3,[12],3,2,2,8,30,18,3
GER,9111,Andreas Jungclaus,Thomas Tschentscher,HSC,1,5,4,[OCS 25],4,5,44,19,4
RSA,8719,Alexander Ham,Arne Lanatowitz,,6,3,[12],7,6,2,36,24,5
GER,8903,Steve Kwee,Thorsten Spötter,HSC,4,[6],5,4,5,6,30,24,6
GER,8744,Lutz Kandzia,John Christiansen,ASV,7,1,6,9,[14],7,44,30,7
GER,87*,Jürgen Anton,Ulf Denecke,HSC,9,8,2,[OCS 25],7,4,55,30,8
GER,8825,Michael Troch,Birgit Hartmann,SGJ,8,[11],7,6,10,10,52,41,9
GER,9102,Walter Steding,Alena-Larissa Wilkens,HSC,[DNF 25],9,9,3,13,9,68,43,10
GER,8463,Friedrich Schropsdorff,Florian Rheimheimer,VSaW,12,7,10,8,[DNF 25],19,81,56,11
GER,8495,Iris Ruhnau,Markus Hintz,,[14],13,13,12,9,11,72,58,12
GER,8999,Karsten Stümpel,Ute Stümpel,HSC,13,14,11,13,16,[17],84,67,13
GER,8730,Iris Anton,Bruno Laudage,HSC,19,[20],14,14,8,13,88,68,14
GER,8458,Anika Wollenbecker,C. Wollenbecker,YCBG,[18],15,16,16,12,12,89,71,15
GER,9000,Enno Wilts,Armin Splisteaser,SVBB,[23],18,15,10,15,15,96,73,16
GER,8317,Christina Burger,Stefan Schmidt,SVO,16,10,18,17,17,[21],99,78,17
GER,8570,Helmut Bruns,Dirk Luebbers,OSG,10,21,17,11,20,[DNF 25],104,79,18
GER,8728,Lennart Schirmer,Hansjörg Schirmer,SGJ,[20],16,20,18,11,14,99,79,19
GER,8654,Philipp Müller,Malte Eilenstein,SGAM,15,19,[21],15,21,16,107,86,20
GER,8051,Jan Koop,Andreas Lucko,HSC,11,[22],22,19,19,18,111,89,21
GER,8522,Henning Oberbeck,Simon Blessing,HSC,17,17,19,[20],18,20,111,91,22
GER,8373,Jörg Kinder,Volkmar Leitzke,RSV,21,24,[DNF 25],21,DNF,DNF,141,116,23
GER,7764,Nicole Stoffels,Daniel Kreischer,OSG,22,23,23,[DNC 25],DNC,DNC,143,118,24
