,Boot,Steuermann,Vorschoter,Club,Platzierungen,,Sum,Platz
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,1,2,3,1
GER,8656,Kurt Reincke,Carsten Hehl,HSC,2,4,6,2
GER,8947,Ralf Schneidewind,Oliver Schürmann,KSC,6,1,7,3
GER,7938,Herman Heide,Stefan Claus,SYC,9,3,12,4
GER,8519,Thure Gnadberg,Aron Tellen,BSV,7,7,14,5
GER,8825,Michael Troch,Birgit Hartmann,SGJ,4,11,15,6
GER,8903,Steve Kwee,Thorsten Spötter,HSC,13,5,18,7
GER,8428,Christian Lempp,Max Rauner,HSC,12,6,18,8
GER,8619,Matthias Dachs,Jörn Alberts,HSC,10,9,19,9
GER,8825,Jens Hufnagel,Stuart Brown,ScStM,5,15,20,10
GER,8741,Jürgen Anton,Ulf Denecke,HSC,3,19,22,11
GER,8533,Roger Bussenius,Robert Bussenius,SCOH,15,8,23,12
GER,8972,Ronald Roos,Kirsten Roos,SVWu,11,12,23,13
GER,9835,Helmut Bruns,Dirk Luebbers,OSG,8,18,26,14
GER,8932,Christian Henge,Katja Henge,OSG,16,13,29,15
GER,8664,Nicholas Melzwig,Michaela Melzwig,LRV,20,1,21,16
GER,8654,Philipp Müller,Steffen Müller,SGAM,17,14,31,17
GER,8500,Katharina Menge,Jens Kühne,OSG,14,17,31,18
GER,8999,Karsten Stümpel,Ute Stümpel,HSC,18,16,34,19
GER,8458,Anika Wollenbecker,C. Wollenbecker,YCBG,19,2,21,20
GER,8750,Konrad Otto,Kay Raum,SGS,21,2,23,21
GER,8988,Daniel Czeninga,Martin Lietz,FSV 03 eV,22,2,24,22
GER,8989,Klaus Brinkbäumer,Toralf Feuchtenhofer,HSC,23,2,25,23
