,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,,,,Platz
GER,8988,Jens Olbrysch,Oliver Thies,HSC,2,2,2,1,1,,1
GER,8956,Bernd Rasenack,Stefan Brückner,ZSK,3,3,1,2,3,,2
GER,8903,Steve Kwee,Thorsten Spötter,HSC,4,1,5,3,5,,3
GER,8712,Siegfried Labenz,Christian Labenz,SVWu,5,5,4,10,2,,4
GER,8519,Thure Gnadberg,Aron Tellen,BSV,6,4,3,4,8,,5
GER,8947,Ralf Schneidewind,Oliver Schürmann,KSC,7,12,6,8,4,,6
GER,8901,Andre Tirre,Frank Wille,YCS,13,7,11,7,6,,7
GER,8317,Christina Burger,Michael Köritz,SVO,9,6,9,11,7,,8
GER,8500,Katharina Menge,Jens Kühne,OSG,15,13,7,5,9,,9
GER,8505,Sven Brömer,Mario Tirre,SCZ,12,14,13,6,10,,10
GER,8458,Anika Wollenbecker,C. Wollenbecker,YCBG,11,11,14,9,11,,11
GER,8625,Robert Hitsch,Olaf Steimke,ZSK,10,8,8,DNC,DNC,,12
GER,8575,Benjamin Bintig,Oliver Korittki,YCO,8,9,12,DNC,DNC,,13
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,1,DNC,DNC,DNC,DNC,,14
GER,8376,Peter Wichtrap,Tobias Frick,,16,10,10,DNC,DNC,,15
GER,8469,Hansjörg Ehlers,Thomas Afken,ZSK,14,DNC,DNC,DNC,DNC,,16
