,Boot,Steuermann,Vorschoter,Club,Platzierungen,,,Platz,,,,
GER,8720,Lennart Tasche,Frederik Tasche,WSVG09,3,2,3,1,3,,,1
GER,9110,Tim Böger,Finn Böger,HSC,1,10,4,3,2,,,2
GER,8903,Steve Kwee,Thorsten Spötter,HSC,8,6,2,2,1,,,3
GER,9112,Morten Bogacki,Lars Dehne,DYC,2,1,1,DNF,9,,,4
GER,8519,Thure Gnadberg,Aron Tellen,BSV,4,4,5,8,3,,,5
GER,9111,Andreas Jungclaus,Thomas Tschentscher,HSC,5,9,8,4,8,,,6
GER,8480,Marc Köster,Kai Homes,BSV-AT,7,3,12,9,6,,,7
GER,8712,Siegfried Labenz,Christian Labenz,SVWu,13,7,11,7,5,,,8
GER,8686,Markus Hintz,Hans-Jürgen Rentelmann,HSC,6,11,9,9,6,,,9
GER,8437,Davina Schlesiger,Marvin Schlesiger,MSC,10,5,18,11,11,,,10
GER,8619,Matthias Dachs,Jörn Alberts,HSC,9,DNF,7,5,DNF,,,11
GER,8500,Katharina Menge,Jens Kühne,OSG,11,12,13,12,10,,,12
GER,8370,Felix Graff,Stephan Graff,SLRV,12,18,16,6,DNF,,,13
DEN,8828,Fabiola Wonterghem,Michael Wonterghem,SoSe,17,8,6,DNF,DNF,,,14
GER,8654,Jens-Ole Kracht,,,14,15,19,14,12,,,15
GER,8389,Georg Mittermayer,Felix Mittermayer,LYC,16,14,15,13,DNF,,,16
GER,8901,Andre Tirre,Frank Wille,YCS,15,13,10,DNF,DNF,,,17
GER,7219,Reimund Bauer,Susanne Bauer,,DNF,19,17,15,DNF,,,18
GER,8570,Helmut Bruns,Dirk Luebbers,OSG,19,16,14,DNF,DNF,,,19
GER,8376,Peter Wichtrap,Lars Schmietenknop,,18,17,DNF,DNF,DNF,,,20
