Nat,Sail No,Helmname,Crewname,BowNumber,R1,R2,R3,R4,R5,Total,Nett,Rank
GBR,9088,Andy Smith,Tim Needham,96,2,1,(7.0),6,1,17,10,1
USA,9072,Mike Holt,Carl Smit,99,1,(4.0),4,3,2,14,10,2
USA,9106,Mike Martin,Adam Lowry,112,6,(10.0),1,1,3,21,11,3
USA,9153,Howie Hamlin,Andy Zinn,85,(16.0),6,3,2,5,32,16,4
GBR,9163,Ian Pinnell,Alex Davies,98,3,5,2,(9.0),8,27,18,5
USA,9173,Tyler Moore,Andrew Buttner,33,(15.0),11,5,8,9,48,33,6
GBR,9143,Richard Lovering,Matt Alvarado,39,7,9,8,(19.0),13,56,37,7
GBR,9131,Nathan Batchelor,Sam Pascoe,131,(17.0),12,13,5,10,57,40,8
AUS,9061,Kevin Cameron,Sam Heritage,44,12,15,12,4,"(100.0,RET)",143,43,9
CAN,8970,Robert Tennant,Steve Bourdow,68,11,14,"(54.0,SCP10)",11,7,97,43,10
AUS,8890,Malcolm Higgins,Nick Johnston,93,18,16,11,(28.0),6,79,51,11
AUS,9134,Michael Quirk,Reeve Dunn,95,5,(28.0),21,14,12,80,52,12
GER,9135,Stefan Böhm,Gerald Roos,84,22,"(100.0,RET)",17,10,4,153,53,13
GBR,9174,Mark Upton-Brown,Ian Mitchell,86,4,3,23,(56.0),29,115,59,14
DEN,9121,Jorgen Bojsen-Moller,Jacob Bojsen-Moller,117,(50.0),8,6,34,14,112,62,15
SUI,9096,Cédric Bart,Laurent Grob,126,13,17,18,15,"(100.0,DNC)",163,63,16
GBR,9085,Charlie Walters,Dougal Cram,121,"(100.0,DNC)",19,19,22,11,171,71,17
SUI,9147,Caroline Jacot,Philippe Jacot,81,21,25,14,12,"(100.0,RET)",172,72,18
USA,9095,Macy Nelson,Eric Anderson,125,25,18,(30.0),13,23,109,79,19
USA,8808,Augie Diaz,Jeff Nelson,103,37,7,27,18,"(100.0,RET)",189,89,20
GBR,9093,Tudor Owen,Tom Bruton,48,8,"(100.0,RET)",41,20,25,194,94,21
RSA,9063,James Largier,Richard Hutton-Squire,45,31,21,(40.0),23,19,134,94,22
RSA,8905,Graeme Willcox,Paul Willcox,21,40,27,"(100.0,DNC)",17,15,199,99,23
AUS,8957,Peter Woolman,Phil Scapens,64,20,30,(47.0),33,17,147,100,24
GER,8975,Alexander Holzapfel,Finn Böger,69,23,24,33,(35.0),20,135,100,25
GBR,8991,Nicholas Meadow,James Read,70,10,29,"(47.0,SCP10)",44,22,152,105,26
USA,9102,Douglas Hagan,Michael Duffield,128,14,36,20,"(100.0,DNC)",36,206,106,27
GBR,9124,Terry Scutcher,Christian Diebitsch,150,41,22,25,21,"(100.0,RET)",209,109,28
GBR,9136,Stewart Mears,Richard Tucker,134,29,40,15,26,"(100.0,DNC)",210,110,29
GER,9171,Stefan Giesler,Frank Böhm,32,(60.0),33,34,32,16,175,115,30
GBR,8963,Martin Hodgson,Adrian Miles,66,35,32,(36.0),36,21,160,124,31
AUS,9028,Earle Alexander,Matthew Bowden,92,44,"(100.0,RET)",39,16,26,225,125,32
GER,9169,Tim Böger,Markus Schöner,30,26,"(100.0,DSQ)",42,43,18,229,129,33
RSA,9094,Thomas Funke,Peter Funke,124,38,20,46,27,"(100.0,RET)",231,131,34
SUI,8613,Ueli Marti,René Betschen,52,43,"(100.0,RET)",26,29,37,235,135,35
DEN,9128,Nikolaj Hoffmann Buhl,Henrik Buhl,130,"(100.0,RET)",2,16,24,"100.0,RET",242,142,36
GER,8915,Davina Schlesiger,Marvin Schlesiger,26,9,"(100.0,RET)",60,47,27,243,143,37
GBR,9104,Harry Briddon,Adam Kenney,47,47,37,(53.0),37,24,198,145,38
RSA,9129,Tina Plattner,David Shelton,97,24,26,55,41,"(100.0,RET)",246,146,39
AUS,9110,Mark Stowell,Shane Attwell,113,59,34,28,30,"(100.0,DNC)",251,151,40
GBR,8887,Richard Williams,Paul Davies,108,30,"(100.0,RET)",52,40,31,253,153,41
DEN,9118,Jan Saugmann,Jakob Karbo,115,36,13,9,"(100.0,RET)","100.0,DNC",258,158,42
DEN,8828,Fabiola Wonterghem,Michael Wonterghem,100,48,39,38,(55.0),33,213,158,43
GER,9043,Nicola Birkner,Angela Stenger,41,(54.0),41,35,51,40,221,167,44
GER,9146,Jens Findel,Johannes Tellen,80,53,"(100.0,RET)",22,7,"100.0,RET",282,182,45
FRA,8847,Bastian Le Morvan,Matthieu Gougeon,104,45,31,(74.0),64,42,256,182,46
GBR,9126,Stuart Turnbull,Richard Mundell,82,33,"(100.0,RET)",59,66,28,286,186,47
FRA,8676,Valentin Dechauffour,Pierre Gendry,56,51,58,51,(60.0),30,250,190,48
GER,8720,Lennart Tasche,Frederik Tasche,35,"(100.0,DNC)",23,31,38,"100.0,RET",292,192,49
AUS,9071,Richard Hyde,David Johnson,119,62,45,(73.0),46,39,265,192,50
GBR,9125,Roger Deane,Tim Williams,94,49,51,(75.0),65,32,272,197,51
SWE,8912,Tom Hastenpflug,Toni Hastenpflug,24,55,44,48,50,"(100.0,RET)",297,197,52
AUS,8797,Martin Pike,Brian Jones,143,58,60,(71.0),48,34,271,200,53
GBR,9156,Mike Pickering,Mike Priddle,87,63,43,64,"(100.0,RET)",35,305,205,54
GER,9054,Anika Kébreau,Raik Wollenbecker,42,65,38,50,54,"(100.0,RET)",307,207,55
AUS,9167,Nigel Lott,Bob Franks,38,56,"(100.0,RET)",29,25,"100.0,RET",310,210,56
IRL,8906,Matthew Mcnicholl,James Mcnicholl,22,32,"(100.0,RET)",37,"100.0,DNC",41,310,210,57
AUS,9018,Brett Bowden,Marcus Korobacz,78,66,49,(80.0),57,43,295,215,58
LUX,9166,Pierre Kieffer,Koloman Fischbach,37,64,50,58,(67.0),46,285,218,59
GER,9123,Enno Wilts,Stefan Schmidt,118,(70.0),54,66,61,44,295,225,60
USA,8831,Miles Johannessen,Paul Von Grey,101,57,"(100.0,RET)",32,39,"100.0,RET",328,228,61
GBR,8860,Bobbie Johnson,Jimmy King,105,34,"(100.0,RET)",45,52,"100.0,DNC",331,231,62
USA,9005,Tom Kivney,Ben Greenfield,79,72,61,57,42,"(100.0,RET)",332,232,63
GBR,9036,Martin Wedge,Scott Allen,71,78,35,70,53,"(100.0,DNC)",336,236,64
GBR,8432,Russell Wheeler,Lee Marriott,16,77,62,(79.0),59,38,315,236,65
USA,8868,Cody Kowalski,Dan Ginther,106,28,48,61,"(100.0,RET)","100.0,DNC",337,237,66
GBR,8514,Ben Iliffe,Richard Nurse,18,27,"(100.0,RET)",62,49,"100.0,RET",338,238,67
USA,9083,Aaron Ross,Rob Waterman,120,61,"(100.0,RET)",63,31,"100.0,RET",355,255,68
GER,8519,Thure Gnadeberg,Aron Tellen,19,46,"(100.0,RET)",10,"100.0,RET","100.0,DNC",356,256,69
GBR,8306,Michael Wilson,Phil Hardisty,5,68,"(100.0,RET)",72,72,45,357,257,70
FRA,9024,Kleber Valery,Eric Valery,75,76,42,67,74,"(100.0,RET)",359,259,71
BER,9176,Brett Wright,Gary Taylor,34,83,"(100.0,RET)",24,58,"100.0,RET",365,265,72
CAN,8755,Brian Trainor,Evan Jennings,141,71,53,78,70,"(100.0,RET)",372,272,73
RSA,8675,Euan Hurter,Carl Zimmerman,55,75,"(100.0,RET)",54,45,"100.0,DNC",374,274,74
SWE,8926,Ebbe Rosen,Olle Wenrup,29,39,"(100.0,RET)",44,"100.0,RET","100.0,DNC",383,283,75
GBR,8340,Will Waddington,Tim Octon,6,80,57,85,62,"(100.0,DNC)",384,284,76
FRA,8950,Eric Quemard,Nicolas Picquerey,62,85,65,88,"(100.0,DNC)",47,385,285,77
SUI,9060,Catherine Houriet,Gil Donze,43,67,46,76,"(100.0,RET)","100.0,DNC",389,289,78
GER,8750,Peter Kruse,Arne Wittemer,60,69,52,69,"(100.0,RET)","100.0,DNC",390,290,79
GBR,800,Martin Spence,Keith Summerskill,145,89,63,83,69,"(100.0,DNC)",404,304,80
GBR,8243,Mick Greenland,Mark Mawhinney,13,88,64,89,68,"(100.0,DNC)",409,309,81
USA,8939,John Wyles,Gareth Fletcher,149,87,69,86,71,"(100.0,RET)",413,313,82
AUS,8968,Matt Hansen,Chris White,67,52,"(100.0,RET)","100.0,DNC",63,"100.0,RET",415,315,83
GER,9101,Timon Treichel,Morten Roos,127,19,"(100.0,RET)","100.0,DNC","100.0,DNC","100.0,DNC",419,319,84
USA,8439,Anne Fitzpatrick,Christian Pittack,17,81,56,82,"(100.0,RET)","100.0,DNC",419,319,85
GBR,8708,Martin Goult,Gordon Russell,58,82,55,84,"(100.0,RET)","100.0,DNC",421,321,86
FRA,9164,Jacques Dechauffour,Sabine Dechauffour,36,73,59,"(100.0,DNC)","100.0,DNC","100.0,DNC",432,332,87
GBR,9165,Vince Horey,Andy Thompson,147,42,"(100.0,RET)","100.0,RET","100.0,DNC","100.0,DNC",442,342,88
SWE,8835,Tomas Franzen,Lennart Andersson,102,79,67,"(100.0,DNC)","100.0,DNC","100.0,DNC",446,346,89
