Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4",Brutto,Netto,Place
GER,8327,"Dirk Frank","Stefan Kempf",SCS,2,3,2,2,9,,1
GER,8772,"Ronald Roos","Kirsten Roos",SVWu,4,2,1,5,12,,2
FRA,8717,"Jean-Baptiste Dupont","Jerome Legeai",AS,1,1,10,6,18,,3
GER,8691,"Günther Böckle","Frank Heimburger",SSCM,5,"DNF 15",5,1,26,,4
FRA,8484,"Philippe Blanchard","Canel Hodzig",ACAL,3,5,3,12,23,,5
GER,8530,"Alexander von Mertens","Martin Maal",StSC,6,6,4,9,25,,6
FRA,7941,"Veronique Brenet","Jean-Pierre Peter",ACAL,7,7,7,3,24,,7
FRA,8566,"Olivier Thiberge","Etienne Portelance",,8,4,13,10,35,,8
GER,8702,"Martin Handel","Heike Winchenbach",SGK,9,"DNF 15",9,4,37,,9
FRA,8541,"Francis Doerenbecher","Philippe Wolff",CNS,10,"DNF 15",6,8,39,,10
FRA,8820,"Robert Lehmann","Bernard Edel",ACAL,11,"DNF 15",11,7,44,,11
FRA,8676,"Marcel Buffet","Jean-Marc Paquotte",CVP,"DNF 15","DNF 15",8,11,49,,12
GER,8450,"Jürgen Feuerhake","Florian Hassdenteufel",YCSb,12,"DNF 15",12,"DNC 15",54,,13
GER,7978,"Alexandra Wahler","Michael Kramer",,"DNF 15","DNF 15","DNF 15",13,58,,14
