Nation,Boat no,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Club (crew),Points,Place
GBR,8882,Pinnel Jan,Gibbon Carl,GBR,1,1,1,1,,3,1
FRA,,Gallo Pierre Jean,Toupet Fabrice,C V ST QUENTIN,3,3,3,12,C V ST QUENTIN,9,2
FRA,,Gubri Serge,Di Pede Thibault,C V SEINE PORT,2,12,5,3,C V SEINE PORT,10,3
FRA,,Peculier Martin,Lafortune Julien,S N O NANTES,4,9,6,4,C V SEINE PORT,14,4
SUI,,Stauffer Florian,Jacot Philippe,SUI,11,2,2,25,,15,5
FRA,7941,Brenet Veronique,Peter Jean-Pierre,AC ALSACE LORRAINE,7,6,16,5,AC ALSACE LORRAINE,18,6
FRA,,Loyal Bertrand,Detappe Xavier,S R ROCHELAISES,19,7,7,6,S R ROCHELAISES,20,7
FRA,,Perrault Patrick,Collin Ludovic,C V ST AUBIN S/MER,9,8,4,22,SR BREST,21,8
FRA,,Silvestre Christian,Vallaud Christian,C V ST QUENTIN,17,4,24,7,C V ST QUENTIN,28,9
FRA,,De Kergariou Herve,Camusson Laurent,CN ARRADON,16,11,11,8,UCPA,30,10
FRA,,Lafortune Antoine,Lafortune Geraud,C V SEINE PORT,5,13,13,24,C V SEINE PORT,31,11
FRA,,Commeil Bertrand,Commeil Louis,Y C CARNAC,10,16,8,20,APCC VOILE SPORTIVE,34,12
FRA,,Devaux Mathieu,Dubuc Philippe,S R FECAMP,18,17,18,2,S R FECAMP,37,13
GBR,8925,Wedge Martin,Allan Scott,GBR,13,14,29,10,,37,14
FRA,,Blanchard Philippe,Maire Charles,AC ALSACE LORRAINE,6,15,19,17,A O G STRASBOURG,38,15
FRA,,Dupont Jean Baptiste,Legeai Jerome,C .V. de PARIS,8,10,35,21,C .V. de PARIS,39,16
FRA,,Debosque Alizee,Des Jamonieres Nicolas,V G A ST MAUR VOILE,12,21,10,47,C.V.M.L,43,17
FRA,,Boyer Etienne,Boyer Emmanuel,C V BORDEAUX,14,18,12,29,C V BORDEAUX,44,18
FRA,,Viaud Pascal,Viaud Alban,S R ROCHELAISES,22,5,42,23,S R ROCHELAISES,50,19
FRA,,Doerenbecher Francis,Noclain Jean Pierre,C N DE SCIEZ,37,24,20,9,C V VALENCIENNES,53,20
FRA,,Broise Xavier,Lafortune Jordane,CERGY VOILE,34,46,9,14,C V SEINE PORT,57,21
FRA,,Faucheux Florian,Faucheux Cedric,Y C ST CYPRIEN,15,25,17,26,Y C ST CYPRIEN,57,22
FRA,,François de Lisle,Brillaud Herve,C N FERRET,29,27,15,19,C N FERRET,61,23
FRA,,Veroul Frederic,Huet Sebastien,C N VASSIVIERE,24,23,30,15,C N VASSIVIERE,62,24
SUI,,Houriet Catherine,Donze Gil,SUI,23,42,22,18,,63,25
