Sail,no.,Skipper,Crew,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Platzierungen 5,Platzierungen 6,Platzierungen 7,Punkte,Pl.
GBR,8882,Pinnell Ian,Gibbon Carl,GWSC,2,2,14,1,2,1,3,,1
GER,8466,Nieder Volker,Heising Stephan,BSV,1,1,16,10,1,3,6,,2
GER,8580,Seeger Micael,Achterberg Andreas,DTYC,14,38,1,5,6,10,5,,3
GER,8880,Kellner Christian,Rothe Robert,HSC,5,11,4,4,15,OCS,2,,4
GER,8904,Forster Jan,Neuss Marcus,SGaM,3,8,5,2,22,5,BFD,,5
GER,8932,Filimonow Dirk,Stockmann Jars,BSV,4,6,27,14,11,7,4,,6
GER,8901,Soellner Sophie,Stueckl Wolfgang,CYC,6,15,17,8,4,4,15,,7
GER,8807,Unkelbach Franziska,Bogacki Wolfgang,KYC,9,24,8,3,14,9,11,,8
FRA,8900,Gubri Serge,Thibault Di Pede,JMIAM,11,14,2,18,RDG,25,16,,9
GER,8693,Daisenberger Micael,Lautenschlager Florian,DTYC,10,12,7,9,18,21,18,,10
GER,8916,Koechlin Stephan,Priegann Axel,SKF,12,20,22,7,17,2,BFD,,11
SUI,8543,Bart Cedric,Marti Ueli,CNB,30,4,12,11,10,16,BFD,,12
GER,8777,Schollmayer Stephan,Sanguino Frisco,SCMSP,31,25,15,19,7,15,13,,13
GBR,8881,Scutcher Terry,Diebitsch Christian,Shotley,19,21,24,13,12,11,19,,14
GER,8721,Christophersen Malte,Salein Sebastian,KAR,15,3,18,16,38,6,BFD,,15
SUI,8729,Stauffer Florian,Jacot Philipp,CVN,8,19,10,20,36,17,BFD,,16
FRA,8895,Pierre-Jean Gallo,Fabrice Toupet,CNE,8,19,10,20,36,17,BFD,,17
FRA,8705,Dupont Jean Baptiste,Legeai Jerome,AS,7,9,6,27,46,42,24,,18
GER,8751,Fischer Helen,Stenger Angela,BYC,36,37,30,15,3,27,10,,19
BEL,8773,Van Loer Pieter,Froidmont Eric,,29,7,13,21,21,30,BFD,,20
GER,8928,Schultz Hendrik,Portelance Etienne,SCLW,35,18,51,22,8,20,20,,21
FRA,8870,Sylvestre Christian,Vallaud Christian,CVB,25,31,33,12,9,22,26,,22
FRA,8270,Gachet Claude,Valery Kleber,YCG,17,22,26,29,16,19,BFD,,23
GER,8825,Troch Michael,Konig Eckart,SGJ,20,16,34,26,13,24,BFD,,24
GER,8772,Roos Ronald,Roos Kirsten,SVWu,39,53,23,6,42,28,1,,25
SUI,8569,Betschen René,Ducommun Patrick,CNB,26,27,37,44,29,13,17,,26
GER,8609,Holzapfel Alexander,Worm Stephan,PSVK,22,36,11,25,52,14,BFD,,27
LUX,8934,Kieffer Pierre,Tousch Jean Paul,YC LUX,46,30,3,36,33,40,30,,28
FRA,8541,Francis Doerenbecher,Gastaud Jean Philippe,CNS,21,33,25,48,47,33,14,,29
FRA,7941,Brenet Veronique,Peter Jean-Pierre,ACAL,OCS,42,19,23,39,29,31,,30
GBR,8925,Wedge Martin,Allen Scott,RBYC,23,26,29,31,31,36,34,,31
GER,8463,Achterberg Frieder,Lanatowitz Arne,DTYC,34,10,21,51,27,32,BFD,,32
GER,8672,Contag Carsten,Von Walter Guido,SCLW,13,49,38,45,26,26,28,,33
GER,8788,Lahrs Karsten,Gerdts Peter,HYC,32,13,RDG,17,DSQ,38,29,,34
FRA,8402,Bleuez Loic,Roucayrol Frederic,,48,17,35,49,43,18,23,,35
FRA,8400,Faucheux Florian,Faucheux Cedric,,27,56,43,47,50,23,9,,36
SUI,8079,Nydegger Lorenz,Nydegger Martin,SCB,38,60,44,34,23,54,7,,37
FRA,8676,Buffet Marcel,Philippe Blanchard,CVP,50,41,9,37,20,46,50,,38
GER,8654,Jaegersberg Nicolas,Hiltsher Wolgang,SCLW,18,57,28,35,19,55,55,,39
GER,8327,Frank Dirk,Kempf Stephan,SCS,45,RDG,31,30,24,44,40,,40
FRA,8742,Philippe Noclain,Jean-Pierre Noclain,CVA,52,44,39,57,37,35,8,,41
FRA,8748,Jeanne Muriel,Carvallo Gilles,CNHS,24,59,53,42,32,43,21,,42
ITA,8743,Giraldi Marco,Corbellini Paolo,UVM,54,47,32,33,28,48,27,,43
FRA,8847,Boiry Michel,Gougeon Matthieu,CVP,47,28,52,32,45,50,32,,44
GER,8642,Greger Thoralf,Klein Christoph,ASVG,28,39,48,DNF,DNF,8,35,,45
FRA,8896,Martenot Christian,Lafortune Julien,CVSP,33,46,62,28,40,47,41,,46
SUI,8077,Houriet Catherine,Donze Gilles,,57,34,45,40,51,58,12,,47
GER,8720,Tasche Lennart,Tasche Frederik,WSVG09,37,51,46,59,34,34,44,,48
GER,8712,Labenz Siegfried,Labenz Christian,SVWu,60,29,55,50,41,56,22,,49
POL,8622,Korneszczuk Michal,Krempec Krysztof,YKS,44,SCP,36,39,54,45,37,,50
GER,8775,Engel Karsten,Neumeyer Tobias,PSVK,OCS,48,SCP,38,53,37,25,,51
FRA,8895,Devaux Mathieu,Dubuc Philippe,,40,32,58,43,DNF,51,42,,52
GER,8874,Waldheim Juergen,Wehden Daniel,PYC,59,58,50,52,35,39,39,,53
GER,8579,Rentelman Hans Jurgen,Warckerbauer Peter,BSC,56,23,54,60,55,53,33,,54
FRA,8752,Guillou Nicolas,Got Guillaume,,41,40,60,46,48,52,47,,55
