Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Brutto,Netto,Place
FRA,8484,Philippe Blanchard,Charles Marie,ACAL,3,1,1,1,6,,1
FRA,7941,Veronique Brenet,Jean-Pierre Peter,ACAL,1,3,4,3,11,,2
GER,8473,Oliver Kraft,Andrea Goeggel,SSCM,5,2,2,4,13,,3
FRA,8541,Francis Doerenbecher,Philippe Wolff,CNS,2,4,8,5,19,,4
GER,8707,Dirk Frank,Stefan Kempf,SCS,8,9,5,2,24,,5
FRA,8676,Marcel Buffet,Dan Beltzung,CVP,8,6,7,6,27,,6
FRA,8820,Robert Lehmann,Bernard Edel,ACAL,9,8,3,9,29,,7
GER,8670,Gerhard Engel,Renita Engel,YCSB,7,14,6,8,35,,8
GER,8530,Alexander von Mertens,Martin Maal,StSC,11,7,9,7,34,,9
FRA,8301,Corinne Antoine,Benoit Blaison,CNL,4,10,10,11,35,,10
FRA,7940,Alain Beltzung,Julien Beltzung,,10,5,11,13,39,,11
GER,8450,Jürgen Feuerhake,Lena Klose,YCSb,13,12,13,10,48,,12
GER,7978,Alexandra Wahler,Michael Kramer,,15,11,12,12,50,,13
GER,7445,Stefan Müller,Pascal Roquette,WHW,12,13,14,15,54,,14
GER,7989,Theo Kohl,Birgit Kohl,WWSC 70,14,DNF 16,15,14,59,,15
