Nation,SailNo,Helm,Crew,Club,R1,Nett,Rank
USA,6933,Stephen Benjamin,Tucker Edmundson,,,,1
USA,0,Jon Andron,Howie Hamlin,,,,2
GBR,0,Peter Colclough,Harold Barnes,,,,3
