Nationality,Boat no,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Position
GBR,8510,Ian Barker,Dan Cripps,,1,1,1,1,1,DNS,"3,75",1
DEN,,Jan Möller,Jacob Bojsen-Möller,,2,2,,,2,,"13,5",2
GER,,Martin Jacot,Rainer Jacot,,,,,,,,20,3
SUI,8569,Rene Betschen,Phillippe Jacot,,,,3,,,2,21,4
GER,,Dietrich Scheder-Bieschin,Klaus Stammerjohann ,,,,,,3,,,
GER,,Stefan Böhm,,,,,,3,,,,
SUI,8016,De Cerjat,François Moeckli,,,,,2,,1,,
GER,,Martin Gorge,Rainer Gorge,,,,3,,,,,
GER,,Stephen Bochin,,,,3,,,,,,
GER,8388,Christian Kellner,Magnus Groth,,3,,,,,,,
GBR,,Mark Longstaff,Simon Lake,,,,,,,,,15
GBR,8776,Christian Diebitsch,Magnus Groth,,,,,,,,,18
GBR,8511,Robin Boardman,Gareth Kelly,,,,,,,,,19
GBR,,Andy Williams,Paul Loudey,,,,,,,,,23
