RSA,SailNo,Helmname,Crewname,Club,R1,R2,R3,R4,R5,Total,Nett,Rank
RSA,9094,Peter Funke,Thomas Funke,Aeolians,(2.0),1,1,1,2,7,5,1
RSA,9063,James Largier,Robert Hilton-Squire,RCYC,1,(DNS),2,2,1,16,6,2
RSA,8719,Alexander Ham,Jonathan Ham,Maties,(4.0),2,3,4,3,16,12,3
RSA,8675,Euan Hurter,Rudy McNeill,PYC,3,3,(4.0),3,4,17,13,4
RSA,8445,Kyle Klaas,Robert van Greunewaldt,PSC,(RET),4,5,5,6,30,20,5
RSA,8584,Hans Rogotski,Greg Barnard, ,(DNC),5,6,6,5,32,22,6
RSA,8789,Christiaan Holm,Warwick Ham,PSC,(DNC),6,8,DNC,7,41,31,7
RSA,6756,Daniel Eigelaar,Andre Eigelaar,SBYC,(DNC),7,7,DNF,DNF,44,34,8
RSA,6266,Andrew Arthur,Andrew Arnold,ESC,(DNC),DNC,DNC,DNC,DNC,50,40,9
