Narodowość,Nr,Helm,Crew,Klub,R1,R2,R3,R4,R5,R6,R7,Pkt,M
POL,9119,Mateusz Jura,Bartosz Chroł,,1,2,1,1,3*,1,2,8,1
POL,9170,Karol Milewski,Bartosz Milewski,,3,1,2,2,1,4,8*,13,2
POL,8875,Dariusz Konopczak,Paweł Henszke,KLUB SPORTOWY CENTRUM ŻEGLARSKIE SZCZECI,5,OCS*,4,3,2,2,3,19,3
POL,9149,Szymon Szymik,Adam Kominek,"SEJK Pogon Szczecin SEJK ""Pogoń"" Szczecin",4,6,3,5,4,5,7*,27,4
POL,8812,Sławomir Plichta,Michał Prończuk,Yacht Klub Stal Gdynia AZS Poznan,6,5,5,7*,5,6,1,28,5
POL,8802,Dominik Ostrowski,Stefan Romanik,SWOS Warszawa KLUB SPORTOWY SPÓJNIA-WARSZAWA,9*,4,8,6,6,3,5,32,6
POL,8736,Adam Kuczyński,Andrzej Borowiak,ZKŻ Zbąszyń ŻMKS-Poznań,12*,9,6,4,8,8,4,39,7
POL,8665,Marcin Panek,Jakub Grabowski,PSK 505,8,7,7,DNF*,OCS,9,9,54,8
POL,7237,Paweł Kluczyński,Władysław Kondej,OŚ AZS POZNAŃ,11*,10,11,8,10,10,6,55,9
POL,9233,Tomasz Brzozowski,Paweł Choroba,KŻ Horn Kraków,2,3,12,RET*,DNC,DNC,DNC,59,10
POL,8463,Jacek Ludwiczak,Grzegorz Szreder,YK STAL GDYNIA,10,11,RET*,DNC,7,7,11,60,11
POL,8483,Mariusz Michalski,Piotr Duma,YK STAL GDYNIA,13,12,9,RET*,9,11,10,64,12
POL,9132,Anna Zabłocka,Michał Olko,YK STAL GDYNIA YK STAL GDYNIA,7,8,10,RET*,DNC,DNC,DNC,67,13
