Country,Boat Number,Helm,Crew,Club,Race 1,Points,Place
SUI,8954,Florian Stauffer,Philippe Jacot,,,,1
SUI,8543,Cédric Bart,Laurent Grob,,,,2
SUI,8569,René Betschen,Lionel Hollinger,,,,3
FRA,8509,Xavier Broise,Nicolas des Jamonières,,,,4
FRA,8820,Thibault Di Pède,Jordane Lafortune,,,,5
SUI,8613,Gilles Petermann,Marti Ueli,,,,6
FRA,9024,Claude Gachet,Kleber Valery,,,,7
FRA,8899,Alain Karadjian,Matthieu Gougeon,,,,8
FRA,8909,Francis Doerenbecher,Philippe Wolff,,,,9
SUI,8614,Valéry Jacot,Corsin Battaglia,,,,10
ITA,8671,Giacinto Piacquadio,Andrea Messina,,,,11
GER,6610,Stefan Krumm,Uwe Krumm,,,,11
SUI,9060,Catherine Houriet,Giles Donzé,,,,12
GER,8670,Theo Kohl,Juliane Kohl,,,,12
FRA,8276,Jaecky Gregor,Roussie Romanic,,,,13
FRA,8695,Jean-Guy Puissant,Bernard le Guen,,,,15
