Nation,Boat no,Helm,Crew,Boat Nam,Race 1,Race 2,Race 3,Race 4,Total,Points,Place
GBR,8429,Robert Napier,Kimball Morrison,Pink I-D,3,1,1,1,6,,1
GBR,8678,Jim Berry,David Barnes,,1,4,3,2,10,,2
GBR,8494,Peter Andreae,Robert Stallard,Bete Noir,4,2,2,3,11,,3
GBR,8358,Tom Wain,John Peats,Limpopo,2,3,4,4,13,,4
GBR,8514,Andrew Fitzgerald,Tim Fitzgerald,,7,8,5,4,24,,5
GBR,7918,A. Thorpe,,,5,7,7,6,25,,6
GBR,8122,Dave Fawcett,,,6,5,DNC 9,DNC 9,29,,7
GBR,8532,Tom Clayton,Dennis Hyatt,,DNC 9,DNC 9,6,7,31,,8
