Nation,Boat no,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Points,Place
GBR,8685,Jim Hunt,Nick Beloe,Bartley SC,1,,,,,,13,8,,1st
GBR,8552,Mark Upton-Brown,Ian Mitchell,Hayling Island SC,,,,1,,1,2,4,,2nd
GBR,8677,Ian Pinnell,Nick Powell,Northhampton SC,,,,,,,1,7,,3rd
GBR,8676,Clive Robinson,Gary Cawthorne,Burton SC,,,,,,,,,,4th
GBR,8556,Richard Tew,John Ironmonger,Burton SC,,,,,,,,,,5th
GBR,8640,Martin Goult,Gordon Russell,Burchfield SC,,,,,,,2,1,,6th
