Pos,Sail,Skipper/Club,,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total Points,Pos
USA,8722,Macy Nelson,,,1,1,2,4,1,2,11.00,1
USA,7200,Alexander Meller,Papadakis,SSA,6,4,1,3,4,1,19.00,2
USA,8919,Bryan Richardson,,SSA,3,2,3,5,3,4,20.00,3
USA,9003,Jesse Falsone,,SSA,2,8/DNC,5,2,5,3,25.00,4
USA,7606,Brendan Connell,,,8/DNC,8/DNC,4,1,2,5,28.00,5
USA,8851,Tom Sitzmann,,SSA,4,3,6,8/DNC,8/DNC,8/DNC,37.00,6
USA,8535,Erica Seamon,,SSA,5,8/DNC,7,6,8/DNC,8/DNC,42.00,7
