Pos,Sail,Skipper,,Club,Race 1,Race 2,Race 3,Race 4,Total Points,Pos
USA,8766,Ian Conners,,SSA,1,5,3,1,10.00,1
USA,9095,Macy Nelson,,WRSC ,2,1,5,3,11.00,2
USA,7359,Catherine Guiader,,SSA,3,2,1,5,11.00,3
USA,8851,Tom Sitzmann,,SSA,6,3,2,2,13.00,4
USA,8919,Bryan Richardson,,SSA,5,4,4,4,17.00,5
USA,8722,Eric Konieczynski,,SSA,7,6,6,6,25.00,6
USA,8535,Bruce Artman,,SSA,4,10/DNF,10/DNC,10/DNC,34.00,7
USA,7200,Ali Meller,,SSA,10/DNS,10/DNS,10/DNS,10/DNS,40.00T,8T
USA,7879,Zachary Marks,,SPYC,10/DNS,10/DNS,10/DNS,10/DNS,40.00T,8T
