Countr,Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Total:,Place
USA,8823,Mats Elf,Jon Henderson,,1,2,1,1,1,[4],1,2,1,10,1
USA,8829,Krysia Pohl,Paul Von Grey,,2,3,2,2,2,[5],3,5,2,21,2
USA,8868,Piper Dunlap,Dan Ginther,,3,4,[6],3,3,1,2,4,4,24,3
CAN,8755,Brian Trainor,Evan Jennings,,4,1,3,5,4,2,5,[8],3,27,4
USA,6808,Erik Coburn,Sugar Flanagan,,5,5,4,[7],5,3,4,6,5,37,5
USA,8435,Simon Miles,Sean Rankins,,[7],6,7,4,7,6,7,1,6,44,6
USA,,Craig,Annie,,6,[7],5,6,6,7,6,3,7,46,7
USA,,Bob Conrad,Kris Conrad,,8,8,8,8,8,[9],9,7,8,64,8
USA,,Sam,Mike,,[9],9,9,9,9,8,8,9,9,70,9
USA,,Chris Hubbard,Alex Hubbard,,10,[11 DNS],11 DNS,11 DNS,11 DNS,11 DNS,10,10,10,84,10
