Pos,Sail,Skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Total Points,Pos
USA,8851,Tom Sitzmann,,SSA,1,1,1,1,4.00,1
USA,7359,Catherine Guiader,,SSA,3,5,2,3,13.00,2
USA,8535,Erica Seamon,Bruce Artman,,8/DNC,3,4,2,17.00,3
USA,7199,Stergios Papadakis,,SSA,2,4,8/DNC,5,19.00,4
USA,8919,Bryan Richardson,,SSA,8/DNC,6,3,4,21.00,5
USA,9007,Michael Renda,,,8/DNC,2,5,8/DNC,23.00,6
USA,7200,Alexander Meller,,SSA,8/DNC,8/DNC,8/DNC,8/DNC,32.00,7
