Nation,Sail,Skipper,,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Total,
USA,8799,Angus Brackett,,SYC,3*,1,1,1,3,1,3,1,11,1
USA,8616,Lee Laney,,,4,2,2,2,2,8*,1,2,15,2
CAN,8866,Cynthia Des Brisay,,Kitsilano YC,1,5,3,3,8*,4,4,3,23,3
USA,8831,Paul Von Grey,,,5,6*,5,4,1,2,2,5,24,4
USA,8868,Piper Dunlap,,PTSA,2,3,9*,7,4,3,5,4,28,5
USA,6808,Eric Coburn,,Port Townsend SA,9,10*,4,5,6,6,8,10,48,6
USA,8960,Bruce Van Deventer,,CYC-Seattle,6,4,8,10*,9,7,6,9,49,7
USA,7206,Anne Fitzpatrick,,CYC-Seattle,10*,8,7,6,10,5,10,6,52,8
CAN,8755,Brian Trainor,,Kitsilano YC,7,9,10*,8,5,9,7,8,53,9
USA,8617,Paul Pihl,,BYC,8,7,6,9,7,10*,9,7,53,10
USA,8829,Bob Conrad,,,11,11,11,11,13*DNS,13 DNF,11,11,79,11
USA,6935,Christopher Hubbard,,CYC-Seattle,12,13*DNF,13 DNS,13 DNS,13 DNS,13 DNS,13 DNS,13 DNS,90,12
