Pos,Sail,Skipper,,Club,Race 1,Race 2,Race 3,Total Points,Pos
USA,8851,Love/Miller,,SSA,2,1,1,4,1
USA,7199,Stergios Papadakis,,SSA,1,2,4,7,2
USA,8535,Erica Seamon,Bruce Artman,SSA,3,3,2,8,3
USA,8766,Bryan Richardson,,SSA,4,4,3,11,4
USA,7200,Ali Meller,,SSA,6/DNC,6/DNC,6/DNC,18,5
