Nation,Sail,Skipper,Skipper,Yacht Club, 1, 2, 3, 4, 5, 6, 7, 8,Boat,Total,Pos
USA,7346,Craig Thompson,Michael Curtin,None,1,1,3,[10/DNF],1,1,1,1,None,9,1  
USA,8821,Michael Komar,Carson Turowski,Sail Newport,2,4,1,2,[5],2,2,2,8821,15,2  
USA,8194,Thomas Kivney,Gordon Russell,Hingham Yacht,4,2,4,3,2,4,4,[5],Katiebear,23,3  
USA,7773,Duane Delfosse,Sol Marini,LSYC/RNYC,3,3,2,4,3,[6],6,6,Blondage,27,4  
USA,8767,Ben Greenfield,Dylan Breton,Sail Newport,[10/DNF],10/DNS,5,1,4,5,3,4,,32,5  
USA,8012,Whit Duncan,,Sail Newport,6,5,[10/DNF],10/DNS,7,3,5,3,,39,6  
USA,8013,Jon Wenderoth,,Mudheads,5,6,6,5,6,8,7,[10/DNC],AMF,43,7  
USA,7685,Will Platt,Bill Platt,Pettipaug Yacht Club,[10/DNC],10/DNS,7,6,9,10/DNF,10/DNS,10/DNC,Boat,62,8  
USA,6985,Michael Breton,Matthew Breton,Sail Newport,[10/DNF],10/DNC,10/DNC,10/DNC,8,7,10/DNC,10/DNC,No Surrender,65,9  
