Nation,Sail,Skipper,Crew,Yacht Club,Results,,,,,,,,,,,Boat,Total Points,Pos
USA,8815,Fritz Lanzinger,,cyc,4/DNC,[5/DNC],4/DNC,[5/DNC],1,1,1,1,1,2,2,,17,1
USA,8960,Bruce Vandeventer,,CYC,[4/DNS],1,1,3,2,2,2,2,2,3,[4],Time Machine,18,2
USA,8792,Carol Buchan,,CYC,1,2,4/DNS,2,[5/DNS],[5/DNS],5/DNS,4/DNS,4/DNS,1,1,Yellow Jacket,24,3
USA,7206,Christian Pittack,,CYC,2,3,2,1,3,3,3,[4/DNS],4/DNS,4,[5],Watery Tart,25,4
USA,8616,Grady Morgan,,CYC,4/DNC,[5/DNC],4/DNC,5/DNC,5/DNS,5/DNS,4/DNS,4/DNS,4/DNS,[6/DNS],3,,38,5
