Nation,Sail  ,Skipper,,Yacht Club,1,2,3,4,5,6,7,8,9,Boat  ,Total,Pos
USA,9007,Tyler Moore   ,,Wianno/Hampton  ,1,1,1,1,1,1,1,[3]  ,3,  ,10,1
USA,8830,Andrew Buttner   ,,SCYC  ,6,[8]  ,3,2,2,3,4,1,2,Kokatat  ,23,2
USA,8930,Ted Ferrarone   ,,Larchmont YC  ,7,3,7,4,3,2,2,4,[9]  ,  ,32,3
USA,8722,Macy Nelson,,West River S. C.  ,[9]  ,6,6,3,4,5,6,2,4,  ,36,4
USA,8012,Henry Amthor   ,,Hamton YC  ,3,11,[13]  ,5,5,4,7,5,6,Amthor / Romey  ,46,5
USA,8919,Simon Gerson   ,,Larchmont  ,[10]  ,2,4,6,9,9,5,6,8,Courageous  ,49,6
USA,8838,John Storck III   ,,Storm Trysail Club  ,5,7,2,8,6,7,3,[17/DNC]  ,17/DNC  ,  ,55,7
USA,8194,Thomas Kivney   ,,Hingham Yacht Club  ,[17/DNS]  ,12,8,9,7,10,10,7,7,KatieBear  ,70,8
USA,8013,Jon Wenderoth   ,,Mudheads  ,2,9,5,11,12,12,11,9,[17/DNC]  ,  ,71,9
USA,7879,Zachary Marks   ,,USF/SPYC  ,[17/DNC]  ,17/DNC  ,17/DNC  ,7,8,6,8,17/DNF  ,5,  ,85,10
BER,9005,Whit Duncan   ,,Sail Newport  ,[17/DNS]  ,4,9,17/DNF  ,17/DNS  ,17/DNS  ,17/DNS  ,8,1,BER 9005  ,90,11
USA,8952,Charles Smith   ,,Carolina Yacht Club (NC)  ,8,13,14,12,11,8,9,[17/DNC]  ,17/DNC  ,Mute  ,92,12
USA,8018,Duane Delfosse   ,,LSYC  ,[17/DNS]  ,10,12,10,10,11,12,17/DNF  ,17/DNC  ,None of the Above  ,99,13
USA,8439,Michael Komar   ,,Newport  ,4,14,11,[17/DNF]  ,17/DNS  ,17/DNC  ,17/DNS  ,17/DNF  ,17/DNS  ,USA 8439  ,114,14
USA,8850,Douglas Watson   ,,West River Sailing Club  ,[17/DNS]  ,5,10,17/DNF  ,17/DNS  ,17/DNS  ,17/DNS  ,17/DNC  ,17/DNC  ,Dr. Crash  ,117,15
USA,8641,Nicholas Burke   ,,Eastern Yacht Club  ,[17/DNC]  ,17/DNC  ,17/DNC  ,17/DNC  ,17/DNC  ,17/DNC  ,17/DNC  ,17/DNC  ,17/DNC  ,PTL CLUB  ,136,16
