Nation,Boat no,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,,Points,Place
GER,8915,Boris Herrmann,Julien Kleiner,,2,5,2,[6],2,1,,12,1
AUS,8920,Michael Quirk,Pete Holden,,1,1,5,4,8*,2,,13,2
GBR,8908,Jim Hunt,Norman Byrd,,3,6,1,3,7,,,20,3
DEN,8826,Tom Bojland,Jakub Karbo,,4,4,3,[7],4,6,,21,4
GBR,8835,Charlie Walters,Dougal Cram,,[DNF],3,4,5,6,4,,22,5
DEN,8828,Jon Andersen,Lasse Andersen,,[11],7,6,8,5,5,,31,6
GER,8916,Stefan Koechlin,Axel Priegann,,6,IN 2,7,14,[DNF],3,,32,7
FIN,8632,Jari Hamstrom,Tomas Lauvila,,5,8,8,[9],9,7,,37,8
FIN,8320,Sampsa Hyysalo,Antti Salonen,,8,9,10,10,10,[DNF],,47,9
FIN,8746,Raimo Raita,Juha Nurmela,,7,10,[DNF],12,12,9,,50,10
POL,8622,Michał Korneszczuk,Krzysztof Krepeć,YK STAL Gdynia,10,12,11,13,[14],8,,54,11
POL,7020,Jakub Pawluk,Michał Redmerski,AZS PW,S,14,9,[17],13,10,,55,12
DEN,8620,Jan Saugman,Morten Ramsbæk,,[DNC],DNC,DNC,1,1,DNF,,89,13
DEN,8923,Jørgen Bojsen-Møller,Jacob Bojsen-Møller,,[DNC],DNC,DNC,2,3,DNF,,92,14
FIN,8768,Jukka Nieminen,Jukka Hyvarinen,,[DNF],16,14,18,15,DNF,,92,15
POL,8416,Przemek Zagórski,Piotr Juckiewicz,SKŻ Sopot,12,15,15,[DNF],DNF,DNF,,100,16
GER,8463,Frieder Achterberg,Arne Lanatowitz,,[DNC],DNC,DNC,11,11,DNF,,109,17
GER,8721,Malte Christophessen,Sebastian Salein,,[DNF],11,DNF,15,DNF,DNF,,113,18
GBR,8907,Tim Berry,David Barnes,,[DNF],DNF,12,16,DNF,DNF,,115,19
POL,7539,Antonina Żółtowska,Piotr Żółtowski,SKŻ Sopot,[DNF],17,13,DNF,DNF,DNF,,117,20
FIN,8582,Anssi Kienanen,Kaarle Kauppinen,,[DNF],13,DNF,DNF,DNF,DNF,,129,21
FRA,7541,Wenceslas Dieuzy,Wojtek Butkiewicz,,[DNC],DNC,DNC,DNF,DNF,DNF,,,
GER,8730,Enno Wilts,Jan Wiechmann,,[DNC],DNC,DNC,DNF,DNF,DNF,,,
POL,8358,Marcin Józefowski,Jacek Barankiewicz,SPÓJNIA Warszawa,[DNC],DNC,DNC,DNF,DNF,DNF,,,
GER,8634,Tomasz Frydrychowicz,Gerrit Haaland,,[DNC],DNC,DNC,DNF,DNF,DNF,,,
DEN,8827,Ratko Stibric,Christian Stormark,,[DNC],DNC,DNC,DNF,DNF,DNF,,,
GER,8693,Michael Daisenberger,Florian Lautenschlager,,[DNC],DNC,DNC,DNF,DNF,DNF,,,
GER,8775,Alexander Holzapfel,Carsten Engel,,[DNC],DNC,DNC,DNF,DNF,DNF,,,
