Pos,Sail,Skipper,Crew,Club,v,,,
USA,7606,Brendan Connell,,SSA,2,1,3.00,1
USA,8919,Bryan Richardson,Matt Schoene,SSA,3,3,6.00,2
USA,7200,Alexander Meller,Mike Coe,SSA,1,9/DNC,10.00,3
USA,8766,Jesse Falsone,Ian Conners,SSA,9/DNC,2,11.00,4
CAN,7197,Tom Sitzmann,Colin Robertson,SSA,4,9/DNC,13.00,5
USA,7199,Stergios Papadakis,John Papadakis,SSA,9/DNC,9/DNC,18.00T,6T
USA,8244,Paul Andron,Gretchen Esbensen,SSA,9/DNF,9/DNF,18.00T,6T
USA,8732,David Neal,Carlos Linares,,9/DNC 9/DNC,,18.00T,6T
