Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Boat Name,Points Total,Points Netto,Place
USA,9115,Mike Holt,Rob Woelfel,,2,1,1,,,4,1
USA,,Bruce Edwards,Rich Mundell,15,1,2,2,,,5,2
USA,,Eb,Geoff Gales,,3,3,3,,,9,3
USA,7886,Segah Meer,Gordon,,4,4,4,,,12,4
