Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat Name,Points Total,Points Netto,Place
USA,9106,Mike Martin,Adam Lowry,StFYC / NHYC,[4],1,1,3,1,1,Blue Boat,,7,1
USA,8714,Michael Menninger,Steve Bourdow,StFYC / NHYC,1,2,2,1,2,[14/RET],Black Boat,,8,2
USA,9080,Howard Hamlin,Jeff Nelson,NHYC / ABYC,2,3,[6],2,3,3,Long Shoremen caused tour,,13,3
USA,9082,Jeff Miller,Pat Diola,SCYC,3,[5],3,5,5,4,Miracle,,20,4
USA,9042,JB Turney,Tommy Fink,StFYC,5,4,4,[6],6,2,Stimulus Package,,21,5
USA,8554,Adam Roberts,Reeve Dunn,SDYC,[7],6,5,4,4,5,,,24,6
USA,7875,Harrison Turner,Rich Mundell,St. Francis Yacht Club,6,8,[14/DNC],8,7,7,Oxford Comma,,36,7
USA,8084,Aaron Ross,,Santa Cruz Yacht Club,8,[10],7,7,9,6,Rob's Old Boat,,37,8
USA,9091,Dan Esdorn,,St FYC,[9],9,8,9,8,8,,,42,9
USA,9004,Eben Russell,,MPYC,10,7,9/DNF,10,[14/RET],9,Walk The Line,,45,10
USA,7069,Ian O’Leary,,Byc,11,11,[14/DNC],11,11/DNF,14/DNC,Tiburon,,58,11
USA,8559,Cory Schillaci,,None,12/DNF,[14/DNC],14/DNC,12,10,14/DNC,,,62,12
USA,9115,Mike Holt,,Santa Cruz YC,[14/DNC],14/DNC,14/DNC,14/DNC,14/DNC,14/DNC,IO Integration,,70,13
